Time(s),Reference(C),Temperature(C),Control_Total(%),Base_NMPC(%),Residual_SAC(%)
0.0,40.77585271554666,35.078,47.88619132562062,37.10185857339284,10.784332752227783
1.0,40.77585271554666,35.207,45.32346935792348,37.10185857339284,8.22161078453064
2.0,40.77585271554666,35.175,44.38244493527791,37.10185857339284,7.280586361885071
3.0,40.77585271554666,35.175,40.03067524953267,37.10185857339284,2.9288166761398315
4.0,40.77585271554666,35.175,39.24149425549886,37.10185857339284,2.139635682106018
5.0,40.77585271554666,35.143,48.274764232577475,43.700850419940146,4.573913812637329
6.0,40.77585271554666,35.143,47.930887155474814,43.700850419940146,4.230036735534668
7.0,40.77585271554666,35.143,49.22282498353878,43.700850419940146,5.521974563598633
8.0,40.77585271554666,35.207,46.56401019567409,43.700850419940146,2.8631597757339478
9.0,40.77585271554666,35.11,48.60215824121395,43.700850419940146,4.901307821273804
10.0,40.77585271554666,35.175,53.3754565207307,49.87864453476116,3.4968119859695435
11.0,40.77585271554666,35.239,53.37949592750713,49.87864453476116,3.5008513927459717
12.0,40.77585271554666,35.239,52.446521708184925,49.87864453476116,2.567877173423767
13.0,40.77585271554666,35.271,51.55454952400371,49.87864453476116,1.6759049892425537
14.0,40.77585271554666,35.271,52.20615107696697,49.87864453476116,2.3275065422058105
15.0,40.77585271554666,35.368,57.425311896321226,55.694301816937376,1.73101007938385
16.0,40.77585271554666,35.4,57.34520146560376,55.694301816937376,1.6508996486663818
17.0,40.77585271554666,35.368,57.01107332420056,55.694301816937376,1.3167715072631836
18.0,40.77585271554666,35.497,57.345616313931394,55.694301816937376,1.6513144969940186
19.0,40.77585271554666,35.562,58.72887263011639,55.694301816937376,3.034570813179016
20.0,40.77585271554666,35.626,64.21492125636489,60.54783370143325,3.6670875549316406
21.0,40.77585271554666,35.594,61.440603395761556,60.54783370143325,0.8927696943283081
22.0,40.77585271554666,35.819,59.01343848353774,60.54783370143325,-1.5343952178955078
23.0,40.77585271554666,35.852,57.83441539651305,60.54783370143325,-2.7134183049201965
24.0,40.77585271554666,35.916,59.99615695125014,60.54783370143325,-0.5516767501831055
25.0,40.77585271554666,36.109,57.26457383281142,60.54783370143325,-3.283259868621826
26.0,40.77585271554666,36.077,58.989044686616964,60.54783370143325,-1.5587890148162842
27.0,40.77585271554666,36.271,59.37654610520751,60.54783370143325,-1.1712875962257385
28.0,40.77585271554666,36.238,59.87012620812804,60.54783370143325,-0.6777074933052063
29.0,40.77585271554666,36.432,59.949834307493276,60.54783370143325,-0.5979993939399719
30.0,40.77585271554666,36.496,57.023605963052816,60.54783370143325,-3.524227738380432
31.0,40.77585271554666,36.561,56.071725746454305,60.54783370143325,-4.476107954978943
32.0,40.77585271554666,36.722,56.97460379249007,60.54783370143325,-3.5732299089431763
33.0,40.77585271554666,36.818,54.87820889598281,60.54783370143325,-5.6696248054504395
34.0,40.77585271554666,36.947,51.04083504325301,60.54783370143325,-9.506998658180237
35.0,40.77585271554666,37.173,50.66411878711135,60.54783370143325,-9.8837149143219
