Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,40.8,28.923,99.99999999999949
1.01,40.8,28.955,99.99999999999949
2.0,40.8,29.052,99.99999999999949
3.01,40.8,28.923,99.99999999999949
4.01,40.8,28.987,99.99999999999949
5.01,40.8,28.987,99.99999999999949
6.0,40.8,29.052,99.99999999999949
7.01,40.8,29.213,99.99999999999949
8.01,40.8,29.148,99.99999999999949
9.01,40.8,29.213,99.99999999999949
10.0,40.8,29.277,99.99999999999949
11.0,40.8,29.31,99.99999999999949
12.01,40.8,29.471,99.99999999999949
13.01,40.8,29.535,99.99999999999949
14.01,40.8,29.6,99.99999999999949
15.01,40.8,29.793,99.99999999999949
16.01,40.8,29.986,99.99999999999949
17.01,40.8,30.019,99.99999999999949
18.0,40.8,30.147,99.99999999999949
19.01,40.8,30.244,99.99999999999949
20.01,40.8,30.502,99.99999999999949
21.01,40.8,30.566,99.99999999999949
22.01,40.8,30.824,99.99999999999949
23.01,40.8,30.889,99.99999999999949
24.0,40.8,31.243,99.99999999999949
25.01,40.8,31.404,99.99999999999949
26.02,40.8,31.598,99.99999999999949
27.02,40.8,31.791,99.99999999999949
28.01,40.8,31.888,99.99999999999949
29.01,40.8,32.178,99.99999999999949
30.0,40.8,32.468,99.99999999999949
31.01,40.8,32.597,99.99999999999949
32.01,40.8,32.822,99.99999999999949
33.0,40.8,33.08,99.99999999999949
34.01,40.8,33.306,99.99999999999949
35.01,40.8,33.563,99.99999999999949
36.02,40.8,33.854,99.99999999999949
37.01,40.8,33.982,99.99999999999949
38.01,40.8,34.401,100.0
39.0,40.8,34.466,100.0
40.02,40.8,34.724,100.0
41.01,40.8,35.046,100.0
42.02,40.8,35.304,100.0
43.0,40.8,35.529,99.88320961662974
44.01,40.8,35.755,99.59693964728929
45.01,40.8,36.045,99.09842566854662
46.01,40.8,36.335,98.40153587745502
47.01,40.8,36.625,97.50661593945198
48.0,40.8,36.851,96.48561777392612
49.0,40.8,37.108,95.31021136393176
50.01,40.8,37.398,93.96310928944497
51.01,40.8,37.592,92.5357031773638
52.01,40.8,37.882,90.95761754669756
53.01,40.8,38.236,89.18702574999311
54.01,40.8,38.462,87.33942366816439
55.01,40.8,38.655,85.43378501399623
56.01,40.8,38.913,83.42568816418458
57.01,40.8,39.268,81.24307602034445
58.01,40.8,39.525,78.97167133138925
59.01,40.8,39.848,76.57686842529506
60.0,40.8,40.073,74.11147510515683
61.0,40.8,40.363,71.55271904294737
62.0,40.8,40.557,68.98529506873828
63.01,40.8,40.911,66.2700469532215
64.01,40.8,41.104,63.53927975478677
65.01,40.8,41.33,60.775745005937864
66.0,40.8,41.62,57.94054505884335
67.0,40.8,41.846,55.10331772760197
68.01,40.8,42.104,52.35806018655452
69.01,40.8,42.329,49.7087560988548
70.0,40.8,42.587,47.14571684335651
71.0,40.8,42.78,44.67462803143229
72.0,40.8,42.941,42.30452051380507
73.01,40.8,43.135,40.03543968312576
74.0,40.8,43.393,37.84159936740988
75.0,40.8,43.618,35.742647496605365
76.01,40.8,43.747,33.73530865999347
77.0,40.8,44.005,31.807721370971766
78.01,40.8,44.134,29.984343375252323
79.0,40.8,44.392,28.24254930708765
80.0,40.8,44.521,26.576225124260283
81.02,40.8,44.682,25.005102817079788
82.01,40.8,44.907,23.514643072146487
83.01,40.8,45.068,22.095283120154154
84.0,40.8,45.165,20.753560760692082
85.0,40.8,45.326,19.482993198195278
86.0,40.8,45.455,18.28466384535565
87.01,40.8,45.616,17.15213913852694
88.01,40.8,45.648,16.08288008052934
89.01,40.8,45.81,15.071544568159698
90.01,40.8,45.971,14.119017443626284
91.01,40.8,46.035,13.221171611919875
92.01,40.8,46.132,12.377966377459007
93.01,40.8,46.261,11.581604851957243
94.02,40.8,46.325,10.833042727214442
95.01,40.8,46.454,10.129832578787877
96.01,40.8,46.551,9.469655501904054
97.01,40.8,46.615,8.848545679406636
98.0,40.8,46.712,8.266188839037582
99.0,40.8,46.744,7.718883504839919
100.01,40.8,46.712,7.205387322459289
101.01,40.8,46.809,6.724268299403899
102.0,40.8,46.809,6.273907563369523
103.0,40.8,46.841,5.864113000464153
104.01,40.8,46.905,5.479765653082157
105.01,40.8,47.034,5.1183201326599255
106.01,40.8,46.873,4.77863730876879
107.01,40.8,46.97,4.459304246315734
108.0,40.8,46.97,4.160780113268835
109.01,40.8,46.97,3.879771193438162
110.02,40.8,46.97,3.616528007331725
111.0,40.8,46.97,3.3694371855984566
112.01,40.8,47.002,3.1378288171848445
113.0,40.8,47.002,2.9211836312199417
114.0,40.8,47.099,2.7172341261298514
115.0,40.8,46.97,2.52694805849288
116.01,40.8,46.938,2.3483906580801883
117.0,40.8,47.002,2.1809784453696683
118.01,40.8,46.97,2.024812394423259
119.01,40.8,46.938,1.8781231245145502
120.02,40.8,46.809,1.7411287502018855
121.01,40.8,46.841,1.6129127473368772
122.01,40.8,46.809,1.4929984100284714
123.01,40.8,46.744,1.3809413337970733
124.0,40.8,46.647,1.2760589634379664
125.0,40.8,46.712,1.177542148536851
126.0,40.8,46.647,0.0
127.0,40.8,46.647,0.0
128.0,40.8,46.551,0.0
129.01,40.8,46.422,0.0
130.01,40.8,46.454,0.0
131.01,40.8,46.422,0.0
132.0,40.8,46.39,0.0
133.02,40.8,46.325,0.0
134.0,40.8,46.325,0.0
135.0,40.8,46.1,0.0
136.0,40.8,46.067,0.0
137.02,40.8,46.035,0.0
138.0,40.8,45.971,0.0
139.01,40.8,45.906,0.0
140.01,40.8,45.745,0.0
141.01,40.8,45.713,0.0
142.01,40.8,45.681,0.0
143.0,40.8,45.648,0.0
144.02,40.8,45.584,0.0
145.01,40.8,45.423,0.0
146.01,40.8,45.423,0.0
147.0,40.8,45.391,0.0
148.01,40.8,45.326,0.0
149.01,40.8,45.229,0.0
150.0,40.8,45.101,0.0
151.01,40.8,45.068,0.0
152.0,40.8,44.972,0.0
153.02,40.8,44.907,0.0
154.0,40.8,44.746,0.0
155.01,40.8,44.811,0.0
156.01,40.8,44.746,0.0
157.0,40.8,44.682,0.0
158.01,40.8,44.488,0.0
159.0,40.8,44.424,0.0
160.01,40.8,44.327,0.0
161.0,40.8,44.295,0.0
162.01,40.8,44.166,0.0
163.01,40.8,44.102,0.0
164.01,40.8,44.069,0.0
165.01,40.8,44.005,0.0
166.01,40.8,43.908,0.0
167.0,40.8,43.812,0.0
168.01,40.8,43.779,0.0
169.0,40.8,43.715,0.0
170.01,40.8,43.618,0.0
171.0,40.8,43.457,0.0
172.01,40.8,43.425,0.0
173.02,40.8,43.425,0.0
174.01,40.8,43.264,0.0
175.01,40.8,43.135,0.0
176.01,40.8,43.135,0.0
177.01,40.8,43.167,0.0
178.0,40.8,43.038,0.0
179.01,40.8,42.877,0.0
180.01,40.8,42.813,0.0
181.0,40.8,42.813,0.0
182.0,40.8,42.748,0.0
183.01,40.8,42.619,0.0
184.01,40.8,42.522,0.0
185.0,40.8,42.49,0.0
186.01,40.8,42.458,0.0
187.01,40.8,42.265,0.0
188.0,40.8,42.168,0.0
189.01,40.8,42.168,0.0
190.0,40.8,42.136,0.0
191.0,40.8,42.104,0.0
192.01,40.8,41.942,0.0
193.0,40.8,41.846,0.0
194.01,40.8,41.813,0.0
195.01,40.8,41.749,0.2516602821992992
196.02,40.8,41.652,0.5682766587221807
197.01,40.8,41.523,0.9681429959974078
198.01,40.8,41.523,1.3476913416712208
199.02,40.8,41.459,1.754304239318457
200.01,40.8,41.266,2.294469794693232
201.02,40.8,41.201,2.856114108335089
202.0,40.8,41.266,3.3368780849236503
203.01,40.8,41.137,3.894601750164062
204.02,40.8,41.201,4.374272126072988
205.01,40.8,41.072,4.927313296651983
206.01,40.8,40.879,5.602211340282271
207.01,40.8,40.879,6.240722277596607
208.01,40.8,40.814,6.896299420468698
209.01,40.8,40.782,7.5433359398709
210.01,40.8,40.621,8.283839557070118
211.01,40.8,40.653,8.962770209034437
212.02,40.8,40.524,9.706148847284442
213.02,40.8,40.524,10.407985473875026
214.01,40.8,40.492,11.101386416885047
215.01,40.8,40.267,11.931713132621022
216.0,40.8,40.299,12.694317666631076
217.0,40.8,40.267,13.444920873203346
218.0,40.8,40.17,14.229236442873466
219.0,40.8,40.17,14.972922884149837
220.0,40.8,40.105,15.729032645357993
221.02,40.8,39.977,16.54728172806299
222.01,40.8,39.944,17.347014892100855
223.0,40.8,40.009,18.05390716252002
224.02,40.8,39.912,18.803109924658994
225.01,40.8,39.848,19.55856516401515
226.02,40.8,39.783,20.32547011002943
227.01,40.8,39.654,21.156464436378485
228.01,40.8,39.815,21.81504602608338
229.01,40.8,39.622,22.590397365172002
230.0,40.8,39.59,23.353251080521236
231.0,40.8,39.687,23.353251080521236
232.01,40.8,39.59,24.074479774371447
233.01,40.8,39.59,24.75852754928591
234.01,40.8,39.558,24.75852754928591
235.0,40.8,39.525,25.457242700122155
236.01,40.8,39.461,26.170989227915054
237.02,40.8,39.493,26.170989227915054
238.01,40.8,39.461,26.170989227915054
239.01,40.8,39.396,26.898201928043385
