Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,40.8,34.337,47.47422252027444
1.0,40.8,34.272,48.2460051154086
2.0,40.8,34.434,47.353310293200245
3.0,40.8,34.401,47.88561827822828
4.0,40.8,34.24,49.359658140985616
5.0,40.8,34.369,48.710823393636915
6.0,40.8,34.369,49.00368864628819
7.0,40.8,34.369,49.29655389893947
8.0,40.8,34.337,49.82447641921393
9.0,40.8,34.466,49.171224329382376
10.0,40.8,34.369,50.17218958203367
11.0,40.8,34.401,50.22999756706171
12.0,40.8,34.498,49.80888820960698
13.0,40.8,34.498,50.095878852152204
14.0,40.8,34.563,49.90540941983776
15.0,40.8,34.595,49.954382719900174
16.0,40.8,34.595,50.236956019962555
17.0,40.8,34.627,50.2844720524017
18.0,40.8,34.82,49.147898939488435
19.0,40.8,34.82,49.42022582657514
20.0,40.8,34.82,49.692552713661854
21.0,40.8,34.917,49.25236225826571
22.0,40.8,35.046,48.57269719276355
23.0,40.8,35.078,48.59967485963813
24.0,40.8,35.143,48.38279245165312
25.0,40.8,35.271,47.70018097317526
26.0,40.8,35.4,47.00439488459137
27.0,40.8,35.368,47.48536606363065
28.0,40.8,35.562,46.30770255770429
29.0,40.8,35.562,46.5462390517779
30.0,40.8,35.658,46.07960374298187
31.0,40.8,35.819,45.131136556456596
32.0,40.8,35.98,44.17533749220211
33.0,40.8,36.013,44.15243562071115
34.0,40.8,36.109,43.66526194635055
35.0,40.8,36.271,42.6889108546475
36.0,40.8,36.399,41.95493069245162
37.0,40.8,36.496,41.442833187772884
38.0,40.8,36.528,41.40377841547097
39.0,40.8,36.657,40.65074903306301
40.0,40.8,36.722,40.361959575795346
41.0,40.8,36.915,39.12998097317527
42.0,40.8,37.108,37.88921322520274
43.0,40.8,37.141,37.81494266999374
44.0,40.8,37.237,37.27640031191511
45.0,40.8,37.27,37.19625514660007
46.0,40.8,37.398,36.416780910792205
47.0,40.8,37.495,35.85918933250155
48.0,40.8,37.688,34.59200860885834
49.0,40.8,37.753,34.25626781035555
50.0,40.8,37.85,33.682509669369885
51.0,40.8,37.914,33.346736993137824
52.0,40.8,38.107,32.06047517155331
53.0,40.8,38.236,31.23553873986275
54.0,40.8,38.397,30.169670430442903
55.0,40.8,38.43,30.03669931378662
56.0,40.8,38.591,28.961996319401088
57.0,40.8,38.655,28.592478789769146
58.0,40.8,38.784,27.74258665003117
59.0,40.8,38.849,27.35693443543356
60.0,40.8,39.01,26.263150343106666
61.0,40.8,38.945,26.8221263256394
62.0,40.8,39.106,25.723970430442883
63.0,40.8,39.171,25.323654460386756
64.0,40.8,39.268,24.685321147847755
65.0,40.8,39.364,24.04991603243917
66.0,40.8,39.429,23.637850842170888
67.0,40.8,39.558,22.75271104179661
68.0,40.8,39.622,22.339156706175896
69.0,40.8,39.687,21.915342295695563
70.0,40.8,39.815,21.025798814722386
71.0,40.8,39.848,20.828252526512774
72.0,40.8,39.977,19.924031628197127
73.0,40.8,40.041,19.49139619463506
74.0,40.8,40.105,19.05584622582657
75.0,40.8,40.202,18.374978914535234
76.0,40.8,40.299,17.68969426076105
77.0,40.8,40.267,17.947566874610057
78.0,40.8,40.396,17.024264878353055
79.0,40.8,40.492,16.337491079226446
80.0,40.8,40.557,15.874057205240131
81.0,40.8,40.621,15.415008796007443
82.0,40.8,40.557,15.893274922021165
83.0,40.8,40.653,15.199169245165296
84.0,40.8,40.782,14.258288958203368
85.0,40.8,40.814,14.024051403618188
86.0,40.8,40.75,14.493528384279449
87.0,40.8,40.879,13.548230754834675
88.0,40.8,40.911,13.309575857766651
89.0,40.8,40.911,13.304520960698653
90.0,40.8,41.008,12.5869487211478
91.0,40.8,41.072,12.107361946350546
92.0,40.8,41.169,11.382457829070487
93.0,40.8,41.169,11.365653711790387
94.0,40.8,41.233,10.878735059263873
95.0,40.8,41.169,11.329130941983772
96.0,40.8,41.137,11.547384092326853
97.0,40.8,41.233,10.826865439800367
98.0,40.8,41.266,10.564743980037413
99.0,40.8,41.362,9.838350717404822
100.0,40.8,41.362,9.812757454772258
101.0,40.8,41.395,9.544761384903252
102.0,40.8,41.395,9.517665315034256
103.0,40.8,41.556,8.307937367436043
104.0,40.8,41.491,8.750969494697411
105.0,40.8,41.459,8.954558889581978
106.0,40.8,41.556,8.212030941983768
107.0,40.8,41.395,9.360234872114729
108.0,40.8,41.523,8.392909731752907
109.0,40.8,41.556,8.117581784154693
110.0,40.8,41.523,8.32555664379283
111.0,40.8,41.491,8.527688771054242
112.0,40.8,41.491,8.496220898315626
113.0,40.8,41.556,7.987292950717389
114.0,40.8,41.652,7.247693200249491
115.0,40.8,41.556,7.914065252651266
116.0,40.8,41.523,8.122040112289401
117.0,40.8,41.556,7.84671216469119
118.0,40.8,41.588,7.577226949469702
119.0,40.8,41.523,8.018801809107863
120.0,40.8,41.491,8.220933936369276
121.0,40.8,41.588,7.4769487211478065
122.0,40.8,41.556,7.67612077354958
123.0,40.8,41.556,7.6416928259513295
124.0,40.8,41.523,7.849667685589464
125.0,40.8,41.556,7.574339737991252
126.0,40.8,41.556,7.539911790392999
127.0,40.8,41.556,7.505483842794749
128.0,40.8,41.523,7.713458702432884
129.0,40.8,41.588,7.203073487211439
130.0,40.8,41.556,7.402245539613211
131.0,40.8,41.491,7.845277666874578
132.0,40.8,41.491,7.8138097941359606
133.0,40.8,41.427,8.25245645664376
134.0,40.8,41.491,7.753788583905145
135.0,40.8,41.459,7.957377978789711
136.0,40.8,41.33,8.87494198378039
137.0,40.8,41.459,7.903231378664947
138.0,40.8,41.395,8.34333530879595
139.0,40.8,41.427,8.081181971303772
140.0,40.8,41.395,8.28768590143475
141.0,40.8,41.33,8.738049906425427
142.0,40.8,41.266,9.184028446662483
143.0,40.8,41.395,8.21523237679345
144.0,40.8,41.201,9.613170991890161
145.0,40.8,41.201,9.594909606986855
146.0,40.8,41.266,9.099188147223927
147.0,40.8,41.201,9.555426762320604
148.0,40.8,41.233,9.302108109794117
149.0,40.8,41.169,9.75250399251402
150.0,40.8,41.201,9.500642607610686
151.0,40.8,41.169,9.717438490330615
152.0,40.8,41.169,9.700634373050512
153.0,40.8,41.137,9.918887523393593
154.0,40.8,41.104,10.145943480973143
155.0,40.8,41.104,10.132099438552682
156.0,40.8,41.233,9.170680786026185
157.0,40.8,41.072,10.33359401122889
158.0,40.8,41.104,10.086149968808451
159.0,40.8,41.072,10.30736319401117
160.0,40.8,40.943,11.242551029320005
161.0,40.8,41.104,10.053406986899535
162.0,40.8,41.008,10.744734747348666
163.0,40.8,40.976,10.970319775421055
164.0,40.8,40.879,11.674822145976274
165.0,40.8,40.911,11.436167248908252
166.0,40.8,40.911,11.431112351840254
167.0,40.8,40.847,11.896171990018669
168.0,40.8,40.847,11.894031628197084
169.0,40.8,40.847,11.891891266375497
170.0,40.8,40.911,11.4196363693075
171.0,40.8,40.879,11.649638739862736
172.0,40.8,40.911,11.410983842794712
173.0,40.8,40.814,12.118446288209569
174.0,40.8,40.782,12.352866001247648
175.0,40.8,40.847,11.876225639426028
176.0,40.8,40.782,12.351545352464118
177.0,40.8,40.814,12.11730779787894
178.0,40.8,40.814,12.116670243293784
179.0,40.8,40.718,12.821204491578227
180.0,40.8,40.75,12.589881472239513
181.0,40.8,40.75,12.592158452900772
182.0,40.8,40.653,13.306952776044888
183.0,40.8,40.879,11.653555146600102
184.0,40.8,40.718,12.832589394884527
185.0,40.8,40.653,13.313783718028667
186.0,40.8,40.75,12.607960698689919
187.0,40.8,40.686,13.08035221459759
188.0,40.8,40.718,12.85048646288203
189.0,40.8,40.686,13.08927797878973
190.0,40.8,40.524,14.28444691203988
191.0,40.8,40.718,12.871981160324326
192.0,40.8,40.589,13.823290018714879
193.0,40.8,40.589,13.832898877105398
194.0,40.8,40.589,13.842507735495916
195.0,40.8,40.524,14.329576668746055
196.0,40.8,40.621,13.629628259513357
197.0,40.8,40.686,13.160319775421044
198.0,40.8,40.524,14.355488708671194
199.0,40.8,40.589,13.89059756706173
200.0,40.8,40.557,14.135263693075428
