Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,40.77585271554666,32.629,81.2893295288086
1.0,40.77585271554666,32.726,84.12052154541016
2.0,40.77585271554666,32.79,85.93634033203125
3.0,40.77585271554666,32.79,86.82019805908203
4.0,40.77585271554666,32.758,85.42650604248047
5.0,40.77585271554666,32.822,83.87319946289062
6.0,40.77585271554666,32.919,82.52566528320312
7.0,40.77585271554666,32.887,80.87281799316406
8.0,40.77585271554666,32.951,81.5919189453125
9.0,40.77585271554666,33.08,80.97006225585938
10.01,40.77585271554666,33.048,78.62438201904297
11.0,40.77585271554666,33.08,80.28680419921875
12.0,40.77585271554666,33.048,78.61760711669922
13.01,40.77585271554666,33.177,77.27522277832031
14.0,40.77585271554666,33.338,73.96012878417969
15.0,40.77585271554666,33.37,73.37430572509766
16.01,40.77585271554666,33.467,72.52159881591797
17.0,40.77585271554666,33.66,65.91931915283203
18.0,40.77585271554666,33.66,60.17134094238281
19.01,40.77585271554666,33.789,62.52925491333008
20.0,40.77585271554666,33.982,60.64260482788086
21.0,40.77585271554666,34.111,61.49367141723633
22.0,40.77585271554666,34.337,58.14962387084961
23.0,40.77585271554666,34.305,58.9958381652832
24.01,40.77585271554666,34.627,59.1721305847168
25.0,40.77585271554666,34.659,57.483619689941406
26.0,40.77585271554666,34.885,57.78083801269531
27.01,40.77585271554666,34.949,57.953922271728516
28.01,40.77585271554666,35.175,57.13385772705078
29.0,40.77585271554666,35.207,56.37965774536133
30.0,40.77585271554666,35.368,56.83373260498047
31.0,40.77585271554666,35.497,56.88679122924805
32.0,40.77585271554666,35.852,55.949092864990234
33.0,40.77585271554666,36.013,52.42457962036133
34.0,40.77585271554666,36.077,52.352779388427734
35.0,40.77585271554666,36.238,52.39148712158203
36.0,40.77585271554666,36.271,51.52667236328125
37.0,40.77585271554666,36.496,50.35279846191406
38.0,40.77585271554666,36.657,50.92671585083008
39.0,40.77585271554666,36.786,49.173336029052734
40.0,40.77585271554666,36.979,48.18460464477539
41.0,40.77585271554666,37.108,46.67033386230469
42.0,40.77585271554666,37.334,46.81919860839844
43.0,40.77585271554666,37.463,46.15045166015625
44.0,40.77585271554666,37.624,45.15288162231445
45.0,40.77585271554666,37.85,44.19274139404297
46.0,40.77585271554666,37.85,42.576133728027344
47.0,40.77585271554666,38.075,42.13352966308594
48.0,40.77585271554666,38.075,39.248741149902344
49.0,40.77585271554666,38.236,39.27494430541992
50.0,40.77585271554666,38.494,36.36704635620117
51.0,40.77585271554666,38.623,31.542659759521484
52.0,40.77585271554666,38.752,28.46212387084961
53.0,40.77585271554666,38.849,24.70615005493164
54.0,40.77585271554666,39.01,22.178550720214844
55.0,40.77585271554666,39.171,17.798355102539062
