scenario,ctrl,Tp,S,R,P_N,ISE,IAE,ITAE,OS,Energy,TV
const,PI,-,-,-,-,2866.3984121531757,468.16353833648446,24718.430824404768,0.9577465261557236,9798.153632148349,413.506494646794
stress,PI,-,-,-,-,44844.24169591055,3276.9086538913875,1057241.6096353948,19.527208532299742,11514.240421699249,511.0803576052029
const,NMPC/ref[7],30,0.0113,0.001,0.1513,5314.887293912651,1022.4703101123387,111192.42899557638,6.254865245142248,10370.94217674367,194.61748953866038
const,NMPC/ref[7],60,0.0113,0.001,0.1513,4671.4342809971795,972.3119597215515,110814.31966924072,4.323819901914493,10040.334097374243,121.37824161203012
const,NMPC/ref[7],90,0.0113,0.001,0.1513,6953.858377032074,1287.1601841916424,165380.9975936024,7.8177918691237425,10481.12959965307,192.94108309117703
const,NMPC/ref[7],120,0.0113,0.001,0.1513,7010.537066209417,1311.0209221703192,180062.6827279087,8.855779874096896,10727.120127441796,120.32894832430247
const,NMPC/S_alta,30,0.05,0.001,0.1513,4001.4478666585505,817.4893576451328,81438.06353997385,6.030139764135782,10271.182421165402,170.1311732113759
const,NMPC/S_alta,60,0.05,0.001,0.1513,4287.98739760642,874.2139123407915,90816.23251642514,6.551696981639594,10341.831219756474,138.6246494288816
const,NMPC/S_alta,90,0.05,0.001,0.1513,4362.372814262627,919.472129629805,104165.1065283253,6.592104799120389,10259.185004440516,127.81942829932949
const,NMPC/S_alta,120,0.05,0.001,0.1513,5825.404146989765,1309.212428658757,255000.38656058593,6.397201097355565,12070.986688097755,501.46037007813146
const,NMPC/R_baja,30,0.0113,0.0001,0.1513,5318.549842210843,1024.1559327901236,111863.63585322148,6.257909952622609,10368.964181047506,195.10877932412473
const,NMPC/R_baja,60,0.0113,0.0001,0.1513,4672.564740170638,972.5591767083034,110869.01707771479,4.3261401500784755,10041.202035913524,121.44575765099937
const,NMPC/R_baja,90,0.0113,0.0001,0.1513,6953.8760918183325,1287.1593100414027,165384.33829540756,7.817896368454318,10481.44920709805,192.94378972840727
const,NMPC/R_baja,120,0.0113,0.0001,0.1513,7010.356668607327,1310.974803150037,180047.2765051334,8.855921013112217,10727.327323083686,120.32794461822282
