Time(s),Reference(C),Temperature(C),Control_Effort(%),Base_NMPC(%),Residual_SAC(%)
0.0,35.0,30.18,51.837579293298205,37.04962400917955,14.787955284118652
1.01,35.0,30.212,51.89233927254625,37.04962400917955,14.8427152633667
2.01,35.0,30.244,51.81030838017412,37.04962400917955,14.760684370994568
3.0,35.0,30.212,51.14607183461138,37.04962400917955,14.096447825431824
4.01,35.0,30.244,49.46019439225145,37.04962400917955,12.4105703830719
5.01,35.0,30.18,55.76293501153417,43.43785557046361,12.325079441070557
6.01,35.0,30.244,56.6417804647965,43.43785557046361,13.203924894332886
7.01,35.0,30.309,56.89605387940831,43.43785557046361,13.458198308944702
8.01,35.0,30.244,56.285003750471546,43.43785557046361,12.847148180007936
9.0,35.0,30.276,56.24777111306615,43.43785557046361,12.80991554260254
10.01,35.0,30.341,62.69336846846385,48.9616670944099,13.731701374053957
11.01,35.0,30.405,62.76119974631114,48.9616670944099,13.799532651901243
12.02,35.0,30.438,62.659511838138535,48.9616670944099,13.697844743728638
13.01,35.0,30.502,62.75949028509898,48.9616670944099,13.797823190689089
14.01,35.0,30.438,62.72105601805492,48.9616670944099,13.75938892364502
15.0,35.0,30.599,67.52667082957433,53.503688709060405,14.022982120513916
16.01,35.0,30.599,66.52083172015355,53.503688709060405,13.01714301109314
17.01,35.0,30.76,66.29097356013463,53.503688709060405,12.78728485107422
18.0,35.0,30.792,65.21064056567357,53.503688709060405,11.70695185661316
19.01,35.0,30.856,65.42704834155248,53.503688709060405,11.923359632492064
20.01,35.0,30.985,66.41196979693578,53.503688709060405,12.908281087875366
21.01,35.0,31.05,65.51879955939458,53.503688709060405,12.015110850334167
22.01,35.0,31.179,63.31547035388157,53.503688709060405,9.811781644821169
23.01,35.0,31.275,63.4532429140012,53.503688709060405,9.949554204940796
24.0,35.0,31.372,63.35696949175999,53.503688709060405,9.853280782699583
25.01,35.0,31.437,64.46197880915807,53.503688709060405,10.958290100097656
26.01,35.0,31.598,64.27537931613134,53.503688709060405,10.771690607070925
27.01,35.0,31.727,63.28074468783543,53.503688709060405,9.777055978775024
28.0,35.0,31.823,61.887446181098674,53.503688709060405,8.383757472038269
29.0,35.0,31.952,61.464374200622295,53.503688709060405,7.96068549156189
30.0,35.0,32.049,61.32017864398167,53.503688709060405,7.816489934921265
31.01,35.0,32.178,59.18973578623936,53.503688709060405,5.686047077178955
32.01,35.0,32.403,58.94488765410588,53.503688709060405,5.441198945045471
