Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,29.922,37.30065015595758
1.0,35.0,29.986,37.06178577666874
2.0,35.0,29.954,37.52517866500312
3.0,35.0,29.922,37.990028820960696
4.01,35.0,29.986,37.751164441671854
5.0,35.0,29.986,37.97950006238303
6.02,35.0,29.986,38.2078356830942
7.01,35.0,29.954,38.67122857142857
8.01,35.0,29.954,38.90102145976294
9.01,35.0,30.019,38.65335427323769
10.01,35.0,30.115,38.1750152838428
11.0,35.0,30.083,38.63253356207112
12.0,35.0,30.083,38.85645184029945
13.0,35.0,30.18,38.36785277604491
14.0,35.0,30.18,38.58735371179039
15.01,35.0,30.212,38.57179737991266
16.01,35.0,30.18,39.02489831565815
17.01,35.0,30.244,38.7742847161572
18.01,35.0,30.309,38.51341104179662
19.01,35.0,30.405,38.02186556456643
20.0,35.0,30.534,37.2835454772302
21.01,35.0,30.599,37.00946531503431
22.0,35.0,30.534,37.68734522769808
23.02,35.0,30.599,37.41326506550218
24.02,35.0,30.695,36.90851310043668
25.01,35.0,30.76,36.62710106051153
26.0,35.0,30.792,36.58513175296318
27.0,35.0,30.824,36.54170517779163
28.01,35.0,30.953,35.78430399251404
29.01,35.0,31.05,35.256085464753575
30.0,35.0,31.179,34.488392326887094
31.02,35.0,31.243,34.19228465377418
32.02,35.0,31.34,33.65085963817841
33.01,35.0,31.372,33.58247735495945
34.01,35.0,31.469,33.03517772925763
35.01,35.0,31.565,32.4908063006862
36.01,35.0,31.63,32.16977479725515
37.0,35.0,31.759,31.375668683718025
38.0,35.0,31.791,31.2882053025577
39.01,35.0,31.92,30.48676731129131
40.01,35.0,31.92,30.62702932002494
41.01,35.0,32.146,29.10719937616967
42.0,35.0,32.178,29.00211216469122
43.01,35.0,32.307,28.18305034310665
44.0,35.0,32.403,27.60051671865253
45.0,35.0,32.468,27.24132301933871
46.01,35.0,32.436,27.591686587648155
47.0,35.0,32.532,27.003278353087985
48.02,35.0,32.693,25.93303824079852
49.01,35.0,32.758,25.560638053649384
50.01,35.0,32.79,25.42768059887711
51.01,35.0,32.887,24.815805801621952
52.0,35.0,33.048,23.72939912663754
53.01,35.0,33.145,23.10577510917028
54.0,35.0,33.209,22.72013655645661
55.0,35.0,33.273,22.331583468496543
56.01,35.0,33.37,21.697713038053667
57.01,35.0,33.499,20.82436799750466
58.01,35.0,33.531,20.657665689332507
59.01,35.0,33.596,20.24710330630071
60.01,35.0,33.628,20.075983655645658
61.0,35.0,33.854,18.478372052401745
62.02,35.0,33.789,19.00802052401745
63.02,35.0,33.821,18.82811172800999
64.01,35.0,33.982,17.699171054273236
65.01,35.0,34.047,17.268070305676876
66.01,35.0,34.111,16.84135502183408
67.01,35.0,34.111,16.881839737991285
68.01,35.0,34.24,15.974749844042403
69.0,35.0,34.208,16.24441721771679
70.0,35.0,34.337,15.332909981285065
71.0,35.0,34.401,14.892988209606957
72.01,35.0,34.434,14.67786363069247
73.01,35.0,34.498,14.23352451653152
74.0,35.0,34.595,13.543868059887718
75.0,35.0,34.627,13.32725433562069
76.01,35.0,34.788,12.161608733624474
77.0,35.0,34.756,12.406320399251396
78.02,35.0,34.724,12.65248933250158
79.01,35.0,34.788,12.194943730505326
80.01,35.0,34.917,11.25702351840298
81.01,35.0,34.885,11.495860573923906
82.01,35.0,35.046,10.318465751715536
83.01,35.0,35.046,10.316370929507176
84.01,35.0,35.078,10.079218839675583
85.01,35.0,35.078,10.07566674984402
86.01,35.0,35.143,9.594654585152831
87.01,35.0,35.143,9.588142420461628
88.01,35.0,35.239,8.87645845290083
89.0,35.0,35.304,8.388114410480332
90.01,35.0,35.368,7.904155832813458
91.01,35.0,35.336,8.122454522769816
92.01,35.0,35.4,7.637038677479736
93.01,35.0,35.529,6.671248222083567
94.01,35.0,35.4,7.594732376793522
95.01,35.0,35.4,7.57651653150344
96.01,35.0,35.465,7.080840611353686
97.01,35.0,35.497,6.824607423580785
98.01,35.0,35.465,7.037031503431039
99.01,35.0,35.529,6.545741048034907
100.0,35.0,35.465,6.991765127885189
101.01,35.0,35.658,5.55290006238302
102.0,35.0,35.562,6.228106799750481
103.0,35.0,35.626,5.732399001871504
104.0,35.0,35.69,5.233776668746114
105.0,35.0,35.69,5.202354335620724
106.0,35.0,35.69,5.170932002495335
107.0,35.0,35.69,5.139509669369945
108.01,35.0,35.69,5.108087336244555
109.0,35.0,35.755,4.599204928259492
110.01,35.0,35.658,5.277339862757319
111.02,35.0,35.69,5.012317529631954
112.0,35.0,35.69,4.980895196506565
113.01,35.0,35.626,5.419587398627588
114.0,35.0,35.723,4.678562258265757
115.01,35.0,35.755,4.410579850280704
116.01,35.0,35.69,4.853657517155349
117.01,35.0,35.819,3.874660573923871
118.01,35.0,35.69,4.784938240798518
119.01,35.0,35.755,4.276055832813454
120.01,35.0,35.723,4.476730692451658
121.01,35.0,35.755,4.208748284466604
122.01,35.0,35.69,4.651825951341249
123.0,35.0,35.69,4.62040361821586
124.0,35.0,35.658,4.824038552713651
125.0,35.0,35.658,4.794073487211466
126.02,35.0,35.658,4.764108421709282
127.01,35.0,35.723,4.256683281347477
128.01,35.0,35.658,4.701218215845276
129.01,35.0,35.723,4.19379307548347
130.01,35.0,35.658,4.638328009981269
131.01,35.0,35.69,4.373305676855906
132.01,35.0,35.626,4.811997878976928
133.01,35.0,35.723,4.070972738615098
134.01,35.0,35.658,4.515507673112897
135.01,35.0,35.562,5.190714410480359
136.01,35.0,35.658,4.459949344978148
137.01,35.0,35.562,5.135156082345612
138.01,35.0,35.562,5.109562819713046
139.01,35.0,35.562,5.083969557080481
140.01,35.0,35.465,5.77089363693072
141.01,35.0,35.562,5.037200374298199
142.01,35.0,35.465,5.724124454148438
143.01,35.0,35.497,5.467891266375538
144.01,35.0,35.433,5.915372613849026
145.01,35.0,35.497,5.425539426076099
146.01,35.0,35.433,5.873020773549587
147.01,35.0,35.497,5.3831875857766605
148.01,35.0,35.4,6.073071740486588
149.0,35.0,35.433,5.812453087960066
150.0,48.0,35.433,100.0
151.0,48.0,35.465,100.0
152.02,48.0,35.465,100.0
153.01,48.0,35.465,100.0
154.0,48.0,35.368,100.0
155.0,48.0,35.465,100.0
156.01,48.0,35.433,100.0
157.0,48.0,35.465,100.0
158.01,48.0,35.562,100.0
159.0,48.0,35.594,100.0
160.0,48.0,35.69,99.39694572676233
161.0,48.0,35.69,99.95753836556456
162.0,48.0,35.723,100.0
163.01,48.0,35.948,98.62298178415467
164.01,48.0,35.948,99.17182520274484
165.01,48.0,35.98,99.4856113537118
166.01,48.0,36.109,99.08542289457264
167.01,48.0,36.271,98.43695701809104
168.01,48.0,36.367,98.26591933873986
169.01,48.0,36.496,97.84810704928258
170.01,48.0,36.689,96.95430561447284
171.01,48.0,36.818,96.52182956955708
172.01,48.0,37.012,95.60601883967558
173.01,48.0,37.012,96.10640810979412
174.01,48.0,37.173,95.42416550218336
175.0,48.0,37.302,94.9696482844666
176.01,48.0,37.592,93.32662457891452
177.01,48.0,37.785,92.38291172801
178.01,48.0,37.946,91.66546699937616
179.01,48.0,38.204,90.22817305053024
180.01,48.0,38.301,89.96176175920147
181.01,48.0,38.494,88.98576132252026
182.01,48.0,38.623,88.471086275733
183.01,48.0,38.945,86.5328474734872
184.01,48.0,39.139,85.5201739862757
185.02,48.0,39.268,84.97612588895818
186.01,48.0,39.558,83.24357130380534
187.01,48.0,39.687,82.68044210854647
188.01,48.0,39.944,81.17120923268867
189.01,48.0,40.267,79.16546706175916
190.01,48.0,40.331,79.04751035558324
191.02,48.0,40.589,77.50160442919525
192.0,48.0,40.847,75.9439492825951
193.01,48.0,41.008,75.08706225826572
194.01,48.0,41.266,73.51032601372427
195.01,48.0,41.523,71.92918608858386
196.02,48.0,41.685,71.03416874610103
197.01,48.0,41.878,69.90406225826574
198.02,48.0,42.104,68.52276381784154
199.02,48.0,42.329,67.13851896444166
200.02,48.0,42.49,66.2141422333125
201.0,48.0,42.748,64.5699162819713
202.01,48.0,42.845,64.09657298814722
203.0,48.0,43.07,62.67858328134745
204.01,48.0,43.36,60.7728870867124
205.0,48.0,43.489,60.0366162819713
206.01,48.0,43.715,58.58195352464126
207.01,48.0,43.844,57.829516157205205
208.0,48.0,44.069,56.36603237679347
209.01,48.0,44.23,55.362416718652526
210.0,48.0,44.392,54.344123643169006
211.01,48.0,44.553,53.32579868995632
212.01,48.0,44.778,51.83002732376792
213.0,48.0,45.004,50.31666400499063
214.01,48.0,45.165,49.27046880848408
215.0,48.0,45.229,48.9294590767311
216.0,48.0,45.455,47.39555739238926
217.0,48.0,45.648,46.09376656269489
218.0,48.0,45.777,45.25330112289453
219.0,48.0,45.971,43.9295009981285
220.0,48.0,46.132,42.83926899563317
221.0,48.0,46.293,41.74170511540858
222.0,48.0,46.357,41.34932669993759
223.01,48.0,46.519,40.23417086712412
224.0,48.0,46.712,38.88392588895815
225.01,48.0,46.873,37.75994903306299
226.0,48.0,46.97,37.09875483468494
227.0,48.0,47.066,36.44048883343725
228.01,48.0,47.228,35.293045414847114
229.01,48.0,47.324,34.62303019338738
230.0,48.0,47.518,33.22878028696191
231.0,48.0,47.453,33.728190455396074
232.01,48.0,47.582,32.80552601372423
233.01,48.0,47.614,32.589504304429184
234.01,48.0,47.711,31.894565252651255
235.0,48.0,47.872,30.725094323144077
236.0,48.0,47.969,30.01840605115404
237.01,48.0,47.969,30.019817779164025
238.0,48.0,48.13,28.83859762944473
239.0,48.0,48.13,28.832677479725454
240.01,48.0,48.162,28.591700062383
241.0,48.0,48.259,27.871805302557664
242.01,48.0,48.355,27.154838739862743
243.0,48.0,48.355,27.138672177167795
244.01,48.0,48.549,25.69747092950714
245.01,48.0,48.581,25.437412414223267
246.0,48.0,48.581,25.41095389893942
247.0,48.0,48.678,24.671978041172785
248.0,48.0,48.646,24.876159451029277
249.01,48.0,48.807,23.664108983156527
250.01,48.0,48.774,23.86976132252023
