Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,29.825,97.9702377319336
1.01,35.0,29.922,99.9038314819336
2.0,35.0,29.986,99.57821655273438
3.0,35.0,29.89,99.69605255126952
4.0,35.0,29.986,99.5939483642578
5.02,35.0,29.922,99.02114868164062
6.01,35.0,29.954,98.64170837402344
7.01,35.0,29.89,97.07323455810548
8.01,35.0,29.986,94.40962982177734
9.01,35.0,30.115,90.63488006591795
10.01,35.0,30.147,87.45365905761719
11.01,35.0,30.18,87.99625396728516
12.01,35.0,30.212,87.64152526855469
13.01,35.0,30.405,86.68993377685547
14.01,35.0,30.47,86.66099548339844
15.01,35.0,30.631,92.77452087402344
16.02,35.0,30.695,90.31155395507812
17.02,35.0,30.889,87.43338775634766
18.01,35.0,30.953,80.64757537841797
19.02,35.0,31.05,80.8297119140625
20.0,35.0,31.34,75.51454162597656
21.01,35.0,31.308,76.33175659179688
22.0,35.0,31.533,73.5084457397461
23.0,35.0,31.727,75.09291076660156
24.0,35.0,31.888,73.5743179321289
25.01,35.0,31.984,71.34941101074219
26.01,35.0,32.21,71.91018676757812
27.0,35.0,32.468,71.63450622558594
28.01,35.0,32.5,70.21101379394531
29.0,35.0,32.726,69.51453399658203
30.01,35.0,32.887,71.75338745117188
31.01,35.0,33.112,68.43858337402344
32.01,35.0,33.306,68.71407318115234
33.0,35.0,33.402,66.06098175048828
34.01,35.0,33.692,67.69458770751953
35.0,35.0,33.789,63.914512634277344
36.01,35.0,34.079,67.06951141357422
37.01,35.0,34.24,62.84759140014648
38.01,35.0,34.369,64.05638122558594
39.0,35.0,34.724,63.21939086914063
40.01,35.0,34.756,62.14603805541992
41.0,35.0,35.078,62.163116455078125
42.01,35.0,35.207,61.81507110595703
43.0,35.0,35.368,59.87627410888672
44.01,35.0,35.658,60.22217178344727
45.0,35.0,35.755,58.14212417602539
46.01,35.0,35.98,57.79923629760742
47.01,35.0,36.109,55.01633834838867
48.01,35.0,36.399,53.86941909790039
49.01,35.0,36.528,47.87585067749024
50.01,35.0,36.689,49.36199569702149
51.01,35.0,37.012,45.70953750610352
52.01,35.0,37.076,38.6507682800293
53.01,35.0,37.334,39.39328002929688
54.01,35.0,37.398,29.217792510986328
55.0,35.0,37.624,30.25247383117676
56.01,35.0,37.688,25.574440002441406
57.01,35.0,37.946,24.02389335632324
58.0,35.0,37.979,21.0380916595459
59.01,35.0,38.301,20.41410255432129
60.01,35.0,38.365,16.185606002807617
61.0,35.0,38.591,15.666678428649902
62.0,35.0,38.688,14.35520076751709
63.01,35.0,38.816,13.610834121704102
64.0,35.0,38.978,13.721200942993164
65.0,35.0,39.106,11.816546440124512
66.0,35.0,39.235,11.292764663696287
67.01,35.0,39.332,10.564139366149902
68.01,35.0,39.429,10.24356174468994
69.01,35.0,39.558,10.243431091308594
70.01,35.0,39.654,9.16236686706543
71.0,35.0,39.783,8.026671409606934
72.0,35.0,39.848,6.907364845275879
73.0,35.0,39.944,6.691760063171387
74.01,35.0,39.944,5.587234973907471
75.01,35.0,40.17,6.943440437316895
76.01,35.0,40.17,5.107834815979004
77.01,35.0,40.202,5.917051315307617
78.01,35.0,40.299,6.289109706878662
79.0,35.0,40.299,5.941802024841309
80.01,35.0,40.396,6.4437360763549805
81.01,35.0,40.492,6.285616874694824
82.01,35.0,40.46,5.712330341339111
83.0,35.0,40.492,6.288581848144531
84.0,35.0,40.557,6.643155097961426
85.01,35.0,40.653,6.222682952880859
86.01,35.0,40.589,5.725765228271484
87.0,35.0,40.621,6.556689739227295
88.0,35.0,40.589,6.463417530059815
89.0,35.0,40.686,7.229214668273926
90.0,35.0,40.686,6.4627556800842285
91.0,35.0,40.782,6.711161136627197
92.0,35.0,40.718,5.536618709564209
93.0,35.0,40.814,6.289443492889404
94.01,35.0,40.75,5.13702917098999
95.0,35.0,40.814,5.890494346618652
96.0,35.0,40.718,5.464434623718262
97.01,35.0,40.75,6.787055969238281
98.02,35.0,40.75,6.816458702087402
99.0,35.0,40.814,6.884306907653809
100.01,35.0,40.718,6.242722511291504
101.0,35.0,40.718,7.463988780975342
102.01,35.0,40.686,7.908108711242676
103.0,35.0,40.557,8.487105369567871
104.01,35.0,40.589,9.888127326965332
105.01,35.0,40.653,9.400161743164062
106.01,35.0,40.686,8.639123916625977
107.02,35.0,40.589,8.356433868408203
108.0,35.0,40.589,9.237009048461914
109.01,35.0,40.621,9.18434238433838
110.01,35.0,40.589,8.882674217224121
111.02,35.0,40.524,9.37820053100586
112.01,35.0,40.557,10.211742401123049
113.0,35.0,40.46,9.742301940917969
114.01,35.0,40.557,11.001208305358888
115.0,35.0,40.492,9.672414779663086
116.01,35.0,40.428,10.504186630249023
117.01,35.0,40.428,11.399948120117188
118.01,35.0,40.396,11.313751220703123
119.01,35.0,40.396,11.764663696289062
120.0,35.0,40.234,11.867454528808594
121.01,35.0,40.299,14.122640609741213
122.01,35.0,40.396,12.845521926879885
123.01,35.0,40.299,11.320829391479492
124.01,35.0,40.234,12.670782089233398
125.01,35.0,40.267,13.375353813171388
126.01,35.0,40.202,12.731218338012695
127.0,35.0,40.202,13.702574729919434
128.01,35.0,40.17,13.593146324157717
129.01,35.0,40.17,13.829252243041992
130.01,35.0,40.105,13.923433303833008
131.01,35.0,40.073,14.64989185333252
132.01,35.0,40.009,15.003174781799316
133.01,35.0,40.073,15.779638290405272
134.0,35.0,39.977,14.593568801879885
135.0,35.0,39.944,16.15972900390625
136.01,35.0,39.944,16.687450408935547
137.01,35.0,39.944,16.37489128112793
138.01,35.0,39.977,15.97496223449707
139.0,35.0,39.848,15.58859920501709
140.01,35.0,39.88,17.59222984313965
141.01,35.0,39.88,16.66077423095703
142.02,35.0,39.912,16.387540817260742
143.01,35.0,39.88,15.97146987915039
144.0,35.0,39.88,16.646465301513672
145.01,35.0,39.88,16.085010528564453
146.02,35.0,39.848,16.159570693969727
147.01,35.0,39.944,16.997209548950195
148.02,35.0,39.783,15.245285987854004
149.01,35.0,39.783,17.607301712036133
150.01,48.0,39.783,17.479402542114258
151.0,48.0,39.751,37.10397338867188
152.01,48.0,39.783,56.2769889831543
153.01,48.0,39.815,48.28559112548828
154.01,48.0,39.815,49.51896667480469
155.01,48.0,39.815,49.33742904663086
156.01,48.0,39.815,48.55319595336914
157.0,48.0,39.88,47.87167739868164
158.01,48.0,39.751,48.43190002441406
159.01,48.0,39.751,46.99554443359375
160.01,48.0,39.783,45.387691497802734
161.01,48.0,39.848,42.79074096679688
162.01,48.0,39.751,40.778804779052734
163.01,48.0,39.815,41.323516845703125
164.0,48.0,39.944,40.78564834594727
165.0,48.0,39.848,40.6788330078125
166.01,48.0,39.912,42.79581451416016
167.0,48.0,39.944,43.11826705932617
168.01,48.0,39.977,42.50898742675781
169.01,48.0,40.009,43.52595901489258
170.0,48.0,40.073,44.02362823486328
171.0,48.0,40.073,42.027099609375
172.0,48.0,40.073,42.16786193847656
173.0,48.0,40.234,42.073028564453125
174.0,48.0,40.234,39.73567962646485
175.0,48.0,40.234,38.760589599609375
176.01,48.0,40.267,37.63591384887695
177.01,48.0,40.299,37.98710632324219
178.01,48.0,40.46,37.28632354736328
179.01,48.0,40.46,34.35694122314453
180.01,48.0,40.46,35.61585998535156
181.01,48.0,40.557,35.69650650024414
182.01,48.0,40.557,34.5870361328125
183.01,48.0,40.653,35.583744049072266
184.0,48.0,40.686,34.13718795776367
185.01,48.0,40.75,34.17667007446289
186.0,48.0,40.814,33.318119049072266
187.01,48.0,40.879,32.26746368408203
188.01,48.0,40.911,31.68878555297852
189.01,48.0,40.976,31.45982551574707
190.0,48.0,41.04,29.724618911743164
191.0,48.0,41.169,29.672557830810547
192.0,48.0,41.169,28.01167297363281
193.0,48.0,41.169,28.17933654785156
194.01,48.0,41.266,28.51679039001465
195.0,48.0,41.201,27.384611129760746
196.01,48.0,41.33,28.886552810668945
197.01,48.0,41.362,26.637989044189453
198.01,48.0,41.427,26.7603702545166
199.0,48.0,41.427,26.09238052368164
200.01,48.0,41.491,26.77912139892578
201.01,48.0,41.491,25.21078872680664
202.0,48.0,41.523,25.93899917602539
203.0,48.0,41.62,25.80027198791504
204.02,48.0,41.652,23.636919021606445
205.01,48.0,41.781,23.808637619018555
206.01,48.0,41.781,21.325836181640625
207.02,48.0,41.781,21.38580322265625
208.0,48.0,41.781,21.73847198486328
209.01,48.0,41.846,21.83675193786621
210.01,48.0,41.942,20.838781356811523
211.01,48.0,41.975,19.8359317779541
212.0,48.0,41.91,19.52579116821289
213.01,48.0,42.007,20.799341201782227
214.0,48.0,42.039,19.502349853515625
215.01,48.0,42.039,19.266355514526367
216.0,48.0,42.168,19.87589263916016
217.01,48.0,42.168,16.503501892089844
218.0,48.0,42.168,18.54293632507324
219.0,48.0,42.168,18.321434020996094
220.0,48.0,42.168,18.165918350219727
221.02,48.0,42.168,18.930599212646484
222.01,48.0,42.2,18.84126663208008
223.01,48.0,42.168,18.0145263671875
224.01,48.0,42.2,19.6071720123291
225.01,48.0,42.361,18.6087646484375
226.0,48.0,42.361,14.038541793823242
227.0,48.0,42.232,16.261165618896484
228.02,48.0,42.265,19.30076789855957
229.0,48.0,42.329,18.28794479370117
230.0,48.0,42.265,17.45770263671875
231.01,48.0,42.361,18.886032104492188
232.01,48.0,42.297,15.739059448242188
233.0,48.0,42.394,18.797927856445312
234.0,48.0,42.426,15.261533737182615
235.01,48.0,42.329,15.23749828338623
236.01,48.0,42.426,18.35109519958496
237.01,48.0,42.426,15.062602996826172
238.01,48.0,42.361,16.778993606567383
239.01,48.0,42.361,17.74318504333496
240.02,48.0,42.394,16.776403427124023
241.01,48.0,42.458,17.279592514038086
242.01,48.0,42.49,14.53862762451172
243.0,48.0,42.426,13.842031478881836
244.01,48.0,42.394,16.923948287963867
245.01,48.0,42.458,17.122703552246094
246.01,48.0,42.361,15.637019157409668
247.0,48.0,42.329,18.496448516845703
248.01,48.0,42.297,17.337915420532227
249.01,48.0,42.297,19.388059616088867
250.0,48.0,42.394,19.29239654541016
251.0,48.0,42.232,15.183022499084473
252.0,48.0,42.2,20.12828063964844
253.01,48.0,42.297,20.78936767578125
254.01,48.0,42.265,17.678218841552734
255.01,48.0,42.136,19.317895889282227
256.01,48.0,42.232,21.00983619689941
257.01,48.0,42.168,18.174535751342773
258.0,48.0,42.265,21.784427642822266
259.01,48.0,42.2,16.776084899902344
260.01,48.0,42.168,18.9072380065918
261.01,48.0,42.2,20.67780494689941
262.01,48.0,42.2,19.138914108276367
263.01,48.0,42.2,19.355073928833008
264.01,48.0,42.2,18.628114700317383
265.01,48.0,42.2,18.2042179107666
266.0,48.0,42.168,19.98215675354004
