time,T1,Tref,Q1
0,31.823,40.0,99.72122955322266
1,32.307,40.0,99.32252502441406
2,32.274,40.0,98.15816497802734
3,32.371,40.0,97.26009368896484
4,32.371,40.0,96.72624206542969
5,32.371,40.0,96.6339340209961
6,32.436,40.0,96.45598602294922
7,32.468,40.0,96.21684265136719
8,32.371,40.0,96.06535339355469
9,32.629,40.0,96.15348815917969
10,32.693,40.0,96.47825622558594
11,32.693,40.0,96.25733947753906
12,32.854,40.0,96.28363037109375
13,32.983,40.0,95.57298278808594
14,32.951,40.0,94.21492004394531
15,33.08,40.0,92.65796661376953
16,33.273,40.0,91.01907348632812
17,33.273,40.0,89.80996704101562
18,33.435,40.0,89.32752990722656
19,33.628,40.0,88.50282287597656
20,33.757,40.0,85.665283203125
21,33.95,40.0,81.80217742919922
22,34.079,40.0,74.76875305175781
23,34.144,40.0,78.02971649169922
24,34.53,40.0,73.77416229248047
25,34.466,40.0,75.17137908935547
26,34.885,40.0,73.66282653808594
27,34.756,40.0,74.75886535644531
28,35.143,40.0,74.5836181640625
29,35.336,40.0,72.98702239990234
30,35.594,40.0,72.74671936035156
31,35.852,40.0,72.07392120361328
32,35.916,40.0,71.58428955078125
33,36.174,40.0,71.41564178466797
34,36.303,40.0,69.72321319580078
35,36.689,40.0,68.4504623413086
36,36.722,40.0,67.37724304199219
37,36.915,40.0,67.0855712890625
38,37.012,40.0,66.37093353271484
39,37.366,40.0,64.39566802978516
40,37.592,40.0,61.7624397277832
41,37.753,40.0,57.47710037231445
42,37.914,40.0,53.28418731689453
43,38.011,40.0,50.473995208740234
44,38.301,40.0,46.33812713623047
45,38.43,40.0,41.111328125
46,38.526,40.0,37.18721389770508
47,38.978,40.0,29.810983657836914
48,39.106,40.0,20.614389419555664
49,39.01,40.0,19.741455078125
50,39.396,40.0,29.551427841186523
51,39.59,40.0,34.585941314697266
52,39.783,40.0,35.39043045043945
53,39.912,40.0,35.09708023071289
54,40.041,40.0,35.71159744262695
55,40.234,40.0,34.16055679321289
56,40.621,40.0,30.40848731994629
57,40.396,40.0,26.487314224243164
58,40.718,40.0,30.660707473754883
59,40.976,40.0,26.744873046875
60,41.169,40.0,23.894792556762695
61,41.104,40.0,19.49755859375
62,41.201,40.0,13.041633605957031
63,41.298,40.0,7.087898254394531
64,41.523,40.0,5.852088451385498
65,41.491,40.0,5.33265495300293
66,41.652,40.0,4.214817047119141
67,41.846,40.0,3.666940212249756
68,41.942,40.0,3.5260140895843506
69,42.104,40.0,3.7261276245117188
70,42.104,40.0,3.9206056594848633
71,42.265,40.0,4.147452354431152
72,42.297,40.0,4.738455772399902
73,42.265,40.0,5.011770248413086
74,42.522,40.0,4.846110820770264
75,42.49,40.0,5.028149604797363
76,42.555,40.0,5.020296573638916
77,42.684,40.0,4.95883846282959
78,42.684,40.0,4.992473125457764
79,42.813,40.0,5.076974868774414
80,42.845,40.0,4.880362510681152
81,42.78,40.0,4.585808753967285
82,42.78,40.0,4.196152210235596
83,42.877,40.0,4.01776123046875
84,42.845,40.0,3.8149774074554443
85,42.845,40.0,3.644880771636963
86,42.909,40.0,5.119797706604004
87,43.006,40.0,5.622601509094238
88,42.974,40.0,4.870906352996826
89,42.941,40.0,4.085242748260498
90,43.038,40.0,4.14048433303833
91,42.974,40.0,4.314389705657959
92,43.038,40.0,4.076898097991943
93,43.103,40.0,3.8067221641540527
94,43.103,40.0,3.7625372409820557
95,42.974,40.0,3.8675308227539062
96,42.909,40.0,4.48613166809082
97,42.974,40.0,4.242104530334473
98,42.909,40.0,3.9563684463500977
99,42.974,40.0,3.754469871520996
100,43.006,42.0,4.285827159881592
101,42.941,42.0,9.029528617858887
102,42.941,42.0,11.030766487121582
103,42.845,42.0,13.59524154663086
104,42.909,42.0,15.318211555480957
105,42.877,42.0,16.58785057067871
106,42.974,42.0,17.24477767944336
107,42.877,42.0,21.080610275268555
108,42.941,42.0,23.604604721069336
109,42.974,42.0,20.89990997314453
110,42.941,42.0,17.763328552246094
111,42.941,42.0,16.422456741333008
112,42.813,42.0,16.697893142700195
113,42.748,42.0,18.24382209777832
114,42.813,42.0,18.33538055419922
115,42.845,42.0,17.30620002746582
116,42.684,42.0,17.65302085876465
117,42.716,42.0,18.38499641418457
118,42.587,42.0,18.769445419311523
119,42.748,42.0,18.260456085205078
120,42.522,42.0,18.321517944335938
121,42.651,42.0,19.011173248291016
122,42.619,42.0,17.71525764465332
123,42.619,42.0,17.204050064086914
124,42.587,42.0,17.38377571105957
125,42.651,42.0,17.380496978759766
126,42.555,42.0,18.119728088378906
127,42.555,42.0,19.535457611083984
128,42.684,42.0,18.96839714050293
129,42.49,42.0,18.722888946533203
130,42.78,42.0,18.104618072509766
131,42.522,42.0,17.459068298339844
132,42.522,42.0,19.85992431640625
133,42.522,42.0,20.587005615234375
134,42.458,42.0,20.81037139892578
135,42.587,42.0,19.309974670410156
136,42.522,42.0,18.10666847229004
137,42.49,42.0,18.694231033325195
138,42.458,42.0,19.821504592895508
139,42.522,42.0,19.917360305786133
140,42.555,42.0,18.765472412109375
141,42.522,42.0,18.403038024902344
142,42.619,42.0,17.82020378112793
143,42.619,42.0,16.855802536010742
144,42.555,42.0,17.678869247436523
145,42.49,42.0,19.34223175048828
146,42.522,42.0,20.337703704833984
147,42.684,42.0,18.383996963500977
148,42.587,42.0,17.088022232055664
149,42.49,42.0,18.56869125366211
150,42.619,42.0,18.693527221679688
151,42.587,42.0,17.89706039428711
152,42.619,42.0,18.22119140625
153,42.458,42.0,19.57232093811035
154,42.522,42.0,20.32217025756836
155,42.49,42.0,19.601600646972656
156,42.619,42.0,18.44211769104004
157,42.555,42.0,17.942550659179688
158,42.522,42.0,18.76796531677246
159,42.458,42.0,20.297039031982422
160,42.49,42.0,20.763486862182617
161,42.587,42.0,18.913368225097656
162,42.522,42.0,17.77019500732422
163,42.555,42.0,17.966218948364258
164,42.49,42.0,18.771154403686523
165,42.49,42.0,19.951797485351562
166,42.587,42.0,19.106037139892578
167,42.458,42.0,19.062541961669922
168,42.522,42.0,19.45486068725586
169,42.587,42.0,18.185827255249023
170,42.587,42.0,17.395008087158203
171,42.555,42.0,17.884687423706055
172,42.522,42.0,18.975645065307617
173,42.522,42.0,19.48050880432129
174,42.49,42.0,19.837352752685547
175,42.555,42.0,19.20709228515625
176,42.619,42.0,17.633899688720703
177,42.522,42.0,17.690731048583984
178,42.522,42.0,19.130504608154297
179,42.555,42.0,19.42857551574707
180,42.522,42.0,19.263896942138672
181,42.522,42.0,19.123247146606445
182,42.555,42.0,18.60262680053711
183,42.619,42.0,17.667448043823242
184,42.619,42.0,17.22167205810547
185,42.651,42.0,17.46794891357422
186,42.651,42.0,38.97396469116211
187,42.813,42.0,45.30534362792969
188,42.651,42.0,48.65193176269531
189,42.684,42.0,58.45741653442383
190,42.78,42.0,67.95106506347656
191,42.877,42.0,77.75042724609375
192,42.909,42.0,83.20038604736328
193,43.006,42.0,83.29057312011719
