Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,32.0,30.0
1.0,35.0,32.0,30.0
2.0,35.0,32.0,30.0
3.0,35.0,32.0,30.0
4.0,35.0,32.0,30.0
5.0,35.0,32.0,30.0
6.0,35.0,32.0,30.0
7.0,35.0,32.0,30.0
8.0,35.0,32.0,30.0
9.0,35.0,32.0,30.0
10.0,35.0,32.0,30.0
11.0,35.0,32.0,30.0
12.0,35.0,32.0,30.0
13.0,35.0,32.0,30.0
14.0,35.0,32.0,30.0
15.0,35.0,32.0,30.0
16.0,35.0,32.0,30.0
17.0,35.0,32.0,30.0
18.0,35.0,32.0,30.0
19.0,35.0,32.0,30.0
20.0,35.0,32.0,30.0
21.0,35.0,32.0,30.0
22.0,35.0,32.0,30.0
23.0,35.0,31.954,31.085676097366957
24.0,35.0,32.153,31.085676097366957
25.0,35.0,32.284,31.085676097366957
26.0,35.0,32.533,31.085676097366957
27.0,35.0,32.628,31.085676097366957
28.0,35.0,32.63,31.085676097366957
29.0,35.0,32.723,31.085676097366957
30.0,35.0,32.791,31.085676097366957
31.0,35.0,32.897,31.085676097366957
32.0,35.0,32.918,31.085676097366957
33.0,35.0,32.925,31.085676097366957
34.0,35.0,33.301,31.085676097366957
35.0,35.0,33.25,31.085676097366957
36.0,35.0,33.098,31.085676097366957
37.0,35.0,33.343,31.00932833380515
38.0,35.0,33.536,30.78332624819891
39.0,35.0,33.509,30.58991216281242
40.0,35.0,33.554,30.372399724298084
41.0,35.0,33.585,30.140351324405312
42.0,35.0,33.914,29.664070418658255
43.0,35.0,33.732,29.35276000061515
44.0,35.0,34.096,28.776952290525518
45.0,35.0,33.894,28.386764128853244
46.0,35.0,34.063,27.883168508087696
47.0,35.0,34.292,27.225773621898316
48.0,35.0,34.379,26.53914122195836
49.0,35.0,34.433,25.8422327653285
50.0,35.0,34.588,25.058194158656477
51.0,35.0,34.675,24.248758856269788
52.0,35.0,34.717,23.451623287975742
53.0,35.0,34.868,22.5787592636834
54.0,35.0,34.971,21.665106995108758
55.0,35.0,34.941,20.827066195768765
56.0,35.0,34.939,20.03156812466412
57.0,35.0,35.092,19.161675062925703
58.0,35.0,35.064,18.359517694312693
59.0,35.0,35.329,17.467447672080635
60.0,35.0,35.378,16.607257133859616
61.0,35.0,35.534,15.767280934861233
62.0,35.0,35.449,14.973781395297253
63.0,35.0,35.732,14.187591394404572
64.0,35.0,35.631,13.445903212404476
65.0,35.0,35.7,12.732881363148815
66.0,35.0,35.787,12.045512959812
67.0,35.0,35.867,11.387053065143522
68.0,35.0,36.007,10.752536687693619
69.0,35.0,36.156,10.144542082574747
70.0,35.0,36.193,9.568806380580495
71.0,35.0,36.205,9.021228729653197
72.0,35.0,36.466,8.496185154328183
73.0,35.0,36.377,7.999118070279266
74.0,35.0,36.511,7.526494293837067
75.0,35.0,36.399,7.079686836807661
76.0,35.0,36.429,6.658156415528489
77.0,35.0,36.487,6.256582312078859
78.0,35.0,36.689,5.875818314724861
79.0,35.0,36.798,5.517183909783484
80.0,35.0,36.628,5.178978523415748
81.0,35.0,36.654,4.858133971992113
82.0,35.0,36.733,4.555877367147242
83.0,35.0,36.773,4.270354635589136
84.0,35.0,36.736,4.002266716855774
85.0,35.0,36.658,3.749935835238766
86.0,35.0,36.697,3.512135521371696
87.0,35.0,36.943,3.288445750262653
88.0,35.0,36.898,3.0776055128946562
89.0,35.0,36.843,2.8796088938939883
90.0,35.0,36.915,2.69344515833665
91.0,35.0,36.841,2.518723380810404
92.0,35.0,36.876,2.3549524212024453
93.0,35.0,37.03,2.2054042676007506
94.0,35.0,37.084,2.064561306586031
95.0,35.0,36.858,1.9320672520567834
96.0,35.0,36.948,1.807632200405628
97.0,35.0,36.86,1.690431656843689
98.0,35.0,37.08,1.5801527861868188
99.0,35.0,36.781,1.4767599004631968
100.0,35.0,36.731,1.3796280345427143
101.0,35.0,36.965,1.2884213624696417
102.0,35.0,36.881,1.2029879889978503
103.0,35.0,36.846,1.122745355579721
104.0,35.0,36.886,1.0471592929468678
105.0,35.0,36.872,0.9763258184362862
106.0,35.0,36.804,0.9099088503840406
107.0,35.0,36.811,0.8477282361317905
108.0,35.0,36.786,0.7894842059297217
109.0,35.0,36.776,0.7345180130739478
110.0,35.0,36.912,0.683016757176581
111.0,35.0,36.666,0.6349982241443569
112.0,35.0,36.814,0.5899100370531586
