Time(s),Reference(C),Temperature(C),Control_Effort(%),Base_NMPC(%),Residual_SAC(%)
0.0,35.0,32.0,47.07903632960163,33.36378583750568,13.715250492095947
1.0,35.0,32.0,47.26151058516346,33.36378583750568,13.897724747657776
2.0,35.0,32.0,47.43259081683002,33.36378583750568,14.06880497932434
3.0,35.0,32.0,45.878043268535954,33.36378583750568,12.514257431030273
4.0,35.0,32.0,43.73090097746692,33.36378583750568,10.367115139961243
5.0,35.0,32.0,43.47689757189594,33.36378583750568,10.113111734390259
6.0,35.0,32.0,43.716417048786504,33.36378583750568,10.352631211280823
7.0,35.0,32.0,44.0737659677013,33.36378583750568,10.709980130195618
8.0,35.0,32.0,43.64311406454883,33.36378583750568,10.279328227043152
9.0,35.0,32.0,44.7254229529842,33.36378583750568,11.361637115478516
10.0,35.0,32.0,45.288520549152715,33.36378583750568,11.924734711647034
11.0,35.0,32.0,45.74683496794544,33.36378583750568,12.383049130439758
12.0,35.0,32.0,45.625861976955754,33.36378583750568,12.262076139450073
13.0,35.0,32.0,46.15194330057941,33.36378583750568,12.78815746307373
14.0,35.0,32.0,45.83663532576404,33.36378583750568,12.472849488258362
15.0,35.0,32.0,46.30811402640186,33.36378583750568,12.94432818889618
16.0,35.0,32.0,44.689831827495915,33.36378583750568,11.326045989990234
17.0,35.0,32.0,43.815699909542424,33.36378583750568,10.451914072036743
18.0,35.0,32.0,42.33945498308979,33.36378583750568,8.975669145584106
19.0,35.0,32.0,43.269190882061345,33.36378583750568,9.905405044555664
20.0,35.0,32.0,44.894822333668095,33.36378583750568,11.531036496162415
21.0,35.0,32.0,44.25290891966663,33.36378583750568,10.88912308216095
22.0,35.0,32.0,42.734215353344304,33.36378583750568,9.370429515838623
23.0,35.0,32.326,42.567896936748845,33.36378583750568,9.204111099243164
24.0,35.0,32.183,42.41076240382038,33.36378583750568,9.046976566314697
25.0,35.0,32.524,43.01647136053882,33.36378583750568,9.652685523033142
26.0,35.0,32.471,42.15840229830585,33.36378583750568,8.794616460800171
27.0,35.0,32.577,40.98544010958515,33.36378583750568,7.621654272079468
28.0,35.0,32.807,39.62008664450489,33.36378583750568,6.2563008069992065
29.0,35.0,32.917,38.971612547252995,33.36378583750568,5.6078267097473145
30.0,35.0,33.05,38.56082150778614,33.36378583750568,5.1970356702804565
31.0,35.0,33.498,37.12761530718647,33.36378583750568,3.763829469680786
32.0,35.0,33.486,37.28808471999012,33.36378583750568,3.924298882484436
33.0,35.0,33.702,37.415194605205876,33.36378583750568,4.051408767700195
34.0,35.0,33.696,37.05008873782001,33.36378583750568,3.686302900314331
35.0,35.0,33.858,36.60869369349323,33.36378583750568,3.244907855987549
36.0,35.0,34.082,35.814078543995244,33.36378583750568,2.450292706489563
37.0,35.0,34.013,35.10685512862049,33.36378583750568,1.7430692911148071
38.0,35.0,34.085,35.19577214560352,33.36378583750568,1.8319863080978394
39.0,35.0,34.466,35.45649537882648,33.36378583750568,2.092709541320801
40.0,35.0,34.42,34.200722668979985,33.36378583750568,0.8369368314743042
41.0,35.0,34.587,33.84323248705707,33.36378583750568,0.4794466495513916
42.0,35.0,34.6,33.489753101681096,33.36378583750568,0.12596726417541504
43.0,35.0,35.055,33.86401781878315,33.36378583750568,0.5002319812774658
44.0,35.0,35.007,31.275888179157597,33.36378583750568,-2.0878976583480835
45.0,35.0,35.014,29.676746068694374,30.954460142352364,-1.2777140736579895
46.0,35.0,35.438,30.087549625136635,30.954460142352364,-0.8669105172157288
47.0,35.0,35.421,27.933112619616768,30.954460142352364,-3.0213475227355957
48.0,35.0,35.411,28.480526445605538,30.954460142352364,-2.473933696746826
49.0,35.0,35.57,30.054810581900856,30.954460142352364,-0.8996495604515076
50.0,35.0,35.649,27.36608040889161,28.533473437627723,-1.1673930287361145
51.0,35.0,35.915,27.94079197009461,28.533473437627723,-0.5926814675331116
52.0,35.0,35.92,26.82613921721833,28.533473437627723,-1.7073342204093933
53.0,35.0,35.854,28.378647392591407,28.533473437627723,-0.15482604503631592
54.0,35.0,36.241,29.527078097661903,28.533473437627723,0.9936046600341797
55.0,35.0,36.05,26.86181835940597,26.225052998573755,0.6367653608322144
56.0,35.0,36.248,29.34403292945144,26.225052998573755,3.1189799308776855
57.0,35.0,36.331,31.229389832527612,26.225052998573755,5.004336833953857
58.0,35.0,36.474,33.50139252951858,26.225052998573755,7.276339530944824
59.0,35.0,36.621,33.900662587196805,26.225052998573755,7.675609588623047
60.0,35.0,36.843,31.561385053444564,23.991191643524825,7.570193409919739
61.0,35.0,36.82,28.26948131923741,23.991191643524825,4.2782896757125854
62.0,35.0,36.818,27.193393367577254,23.991191643524825,3.202201724052429
63.0,35.0,36.813,27.035096544075667,23.991191643524825,3.0439049005508423
64.0,35.0,36.979,27.316090124893844,23.991191643524825,3.3248984813690186
65.0,35.0,37.05,24.97475052602929,21.92484462984246,3.0499058961868286
66.0,35.0,37.012,25.363146908361138,21.92484462984246,3.4383022785186768
67.0,35.0,37.328,25.111398346502007,21.92484462984246,3.186553716659546
68.0,35.0,37.277,25.44935489423913,21.92484462984246,3.5245102643966675
69.0,35.0,37.638,25.015756137448967,21.92484462984246,3.0909115076065063
70.0,35.0,37.536,23.321107039381797,20.00052333824807,3.320583701133728
71.0,35.0,37.536,22.885128269125754,20.00052333824807,2.8846049308776855
72.0,35.0,37.581,23.512277016569907,20.00052333824807,3.5117536783218384
73.0,35.0,37.583,23.776140222479636,20.00052333824807,3.7756168842315674
74.0,35.0,37.636,23.724305639197166,20.00052333824807,3.7237823009490967
75.0,35.0,37.623,22.052955213143004,18.237185659958495,3.8157695531845093
76.0,35.0,37.637,21.94057244355835,18.237185659958495,3.7033867835998535
77.0,35.0,37.788,22.091253581596984,18.237185659958495,3.8540679216384888
78.0,35.0,37.97,21.905176225258483,18.237185659958495,3.667990565299988
79.0,35.0,37.912,21.182383480621947,18.237185659958495,2.945197820663452
80.0,35.0,38.328,19.686028340597915,16.593430617590712,3.092597723007202
81.0,35.0,38.056,18.858506062765883,16.593430617590712,2.265075445175171
82.0,35.0,38.241,20.258434990187453,16.593430617590712,3.6650043725967407
83.0,35.0,38.489,19.66163633181648,16.593430617590712,3.068205714225769
84.0,35.0,38.416,19.602994302054213,16.593430617590712,3.009563684463501
85.0,35.0,38.349,18.378620459694964,15.094468309540849,3.2841521501541138
86.0,35.0,38.459,18.630379750390155,15.094468309540849,3.535911440849304
87.0,35.0,38.388,18.69802684988509,15.094468309540849,3.6035585403442383
88.0,35.0,38.667,18.63071055616866,15.094468309540849,3.5362422466278076
89.0,35.0,38.51,18.08622570242415,15.094468309540849,2.991757392883301
90.0,35.0,38.488,17.398723034176754,13.719520835194515,3.6792021989822388
91.0,35.0,38.71,17.298140196118283,13.719520835194515,3.578619360923767
92.0,35.0,38.635,17.144383458409237,13.719520835194515,3.4248626232147217
93.0,35.0,38.795,16.998889712605404,13.719520835194515,3.2793688774108887
94.0,35.0,38.837,16.63698640278332,13.719520835194515,2.917465567588806
95.0,35.0,38.83,15.58409948665725,12.465414598771202,3.1186848878860474
96.0,35.0,38.838,15.589261844941246,12.465414598771202,3.123847246170044
97.0,35.0,38.89,15.973236158677208,12.465414598771202,3.507821559906006
98.0,35.0,39.047,15.501682356186974,12.465414598771202,3.0362677574157715
99.0,35.0,39.038,16.38981182891952,12.465414598771202,3.9243972301483154
100.0,35.0,38.903,14.842890195772394,11.322315626070246,3.5205745697021484
101.0,35.0,39.122,14.651820354387507,11.322315626070246,3.3295047283172607
102.0,35.0,39.219,14.635884456560358,11.322315626070246,3.3135688304901123
103.0,35.0,39.102,15.551515512392267,11.322315626070246,4.2291998863220215
104.0,35.0,39.162,14.804758124277338,11.322315626070246,3.4824424982070923
105.0,35.0,39.173,13.788788325463926,10.276179916536009,3.5126084089279175
106.0,35.0,39.302,14.1668152877442,10.276179916536009,3.890635371208191
107.0,35.0,39.256,14.60652590480963,10.276179916536009,4.330345988273621
108.0,35.0,39.213,13.932708508645689,10.276179916536009,3.65652859210968
109.0,35.0,39.06,13.868305093919432,10.276179916536009,3.592125177383423
110.0,35.0,39.244,12.553495309510389,9.323271653809705,3.2302236557006836
111.0,35.0,39.533,13.117317102112928,9.323271653809705,3.7940454483032227
112.0,35.0,39.239,14.36886086241261,9.323271653809705,5.045589208602905
113.0,35.0,39.43,13.368994138398328,9.323271653809705,4.045722484588623
114.0,35.0,39.329,13.580105445542493,9.323271653809705,4.256833791732788
115.0,35.0,39.454,12.369897902175792,8.452125728294261,3.9177721738815308
116.0,35.0,39.419,12.550415933296092,8.452125728294261,4.098290205001831
117.0,35.0,39.677,12.61888200061024,8.452125728294261,4.166756272315979
118.0,35.0,39.379,13.72867637889088,8.452125728294261,5.276550650596619
119.0,35.0,39.55,12.94454151408375,8.452125728294261,4.49241578578949
120.0,35.0,39.46,11.865962018887622,7.659771909634692,4.20619010925293
121.0,35.0,39.537,12.190884818951709,7.659771909634692,4.531112909317017
122.0,35.0,39.304,12.192664017598254,7.659771909634692,4.532892107963562
123.0,35.0,39.381,11.495405902783496,7.659771909634692,3.8356339931488037
124.0,35.0,39.586,11.680776944081408,7.659771909634692,4.021005034446716
125.0,35.0,39.474,12.336969543347362,6.939038205990795,5.397931337356567
126.0,35.0,39.275,11.692808438191417,6.939038205990795,4.753770232200623
127.0,35.0,39.649,10.981139708409312,6.939038205990795,4.042101502418518
128.0,35.0,39.389,11.865794826397899,6.939038205990795,4.9267566204071045
129.0,35.0,39.615,11.42520802105427,6.939038205990795,4.486169815063477
130.0,35.0,39.604,10.777540616566927,6.2849245591709915,4.492616057395935
131.0,35.0,39.618,11.415339521939547,6.2849245591709915,5.130414962768555
132.0,35.0,39.538,11.391475014264376,6.2849245591709915,5.106550455093384
133.0,35.0,39.387,11.164840869481356,6.2849245591709915,4.879916310310364
134.0,35.0,39.745,10.165310315663607,6.2849245591709915,3.8803857564926147
135.0,35.0,39.477,11.150607562710206,5.688482022930543,5.462125539779663
136.0,35.0,39.649,10.412227607418458,5.688482022930543,4.723745584487915
137.0,35.0,39.519,10.65886745517389,5.688482022930543,4.970385432243347
