Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,32.0,22.036618839675608
1.0,35.0,32.0,22.173237679351217
2.0,35.0,32.0,22.309856519026823
3.0,35.0,32.0,22.446475358702433
4.0,35.0,32.0,22.58309419837804
5.0,35.0,32.0,22.71971303805365
6.0,35.0,32.0,22.856331877729257
7.0,35.0,32.0,22.992950717404867
8.0,35.0,32.0,23.129569557080472
9.0,35.0,32.0,23.266188396756082
10.0,35.0,32.0,23.40280723643169
11.0,35.0,32.0,23.539426076107297
12.0,35.0,32.0,23.676044915782906
13.0,35.0,32.0,23.812663755458516
14.0,35.0,32.0,23.94928259513412
15.0,35.0,32.0,24.08590143480973
16.0,35.0,32.0,24.222520274485337
17.0,35.0,32.0,24.35913911416095
18.0,35.0,32.0,24.495757953836556
19.0,35.0,32.0,24.632376793512165
20.0,35.0,32.0,24.76899563318777
21.0,35.0,32.0,24.90561447286338
22.0,35.0,32.0,25.04223331253899
23.0,35.0,32.095,24.480072507944055
24.0,35.0,32.145,24.2426402361856
25.0,35.0,32.329,23.02345723938137
26.0,35.0,32.422,22.464401752268795
27.0,35.0,32.352,23.09208690786152
28.0,35.0,32.395,22.899542430428394
29.0,35.0,32.538,21.96629037214062
30.0,35.0,32.458,22.669529239402078
31.0,35.0,32.662,21.287222733308816
32.0,35.0,32.605,21.806639034381938
33.0,35.0,32.827,20.289125292103215
34.0,35.0,32.812,20.493626557425557
35.0,35.0,32.968,19.449249544779125
36.0,35.0,32.942,19.73121020332281
37.0,35.0,33.053,19.012598917769097
38.0,35.0,33.264,17.550330773508247
39.0,35.0,33.238,17.818705169952967
40.0,35.0,33.267,17.686387923042254
41.0,35.0,33.342,17.219683124312997
42.0,35.0,33.425,16.68539706913083
43.0,35.0,33.287,17.76654333317731
44.0,35.0,33.602,15.533115743281316
45.0,35.0,33.678,15.039710300764137
46.0,35.0,33.801,14.194423118335095
47.0,35.0,33.877,13.689523847528841
48.0,35.0,33.649,15.41397626673577
49.0,35.0,33.987,12.997311912403909
50.0,35.0,33.994,12.987519201389134
51.0,35.0,33.978,13.153241112598575
52.0,35.0,34.14,12.008292725497396
53.0,35.0,34.273,11.070949504543266
54.0,35.0,34.274,11.098015081436646
55.0,35.0,34.31,10.867283277564711
56.0,35.0,34.374,10.429226351113858
57.0,35.0,34.324,10.823898684412141
58.0,35.0,34.517,9.438657646394434
59.0,35.0,34.56,9.144580301491866
60.0,35.0,34.443,10.019894386872721
61.0,35.0,34.481,9.771872750183041
62.0,35.0,34.59,8.99036485195098
63.0,35.0,34.481,9.81445011653062
64.0,35.0,34.849,7.1298453107743605
65.0,35.0,34.703,8.20849609190923
66.0,35.0,34.665,8.504311351648209
67.0,35.0,34.739,7.97851242104346
68.0,35.0,34.767,7.7784561445690965
69.0,35.0,34.883,6.941257952737564
70.0,35.0,34.863,7.091422344591387
71.0,35.0,34.864,7.093296156343942
72.0,35.0,35.099,5.373269464854356
73.0,35.0,34.838,7.284415767758854
74.0,35.0,35.127,5.168476820213554
75.0,35.0,35.217,4.50126580596529
