Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,32.0,30.947786331176758
1.0,35.0,32.0,27.32647705078125
2.0,35.0,32.0,29.891633987426758
3.0,35.0,32.0,32.226097106933594
4.0,35.0,32.0,35.65354919433594
5.0,35.0,32.0,37.48487854003906
6.0,35.0,32.0,39.784976959228516
7.0,35.0,32.0,40.70596694946289
8.0,35.0,32.0,42.11320495605469
9.0,35.0,32.0,43.25548553466797
10.0,35.0,32.0,42.030723571777344
11.0,35.0,32.0,41.603206634521484
12.0,35.0,32.0,42.2125244140625
13.0,35.0,32.0,43.281185150146484
14.0,35.0,32.0,43.53504180908203
15.0,35.0,32.0,44.74309539794922
16.0,35.0,32.0,45.32771301269531
17.0,35.0,32.0,45.981231689453125
18.0,35.0,32.0,48.947059631347656
19.0,35.0,32.0,48.83224868774414
20.0,35.0,32.0,50.186832427978516
21.0,35.0,32.0,48.76957702636719
22.0,35.0,32.0,47.81276321411133
23.0,35.0,31.988,45.46788024902344
24.0,35.0,32.304,44.00936508178711
25.0,35.0,32.124,44.03070068359375
26.0,35.0,32.339,41.97236633300781
27.0,35.0,32.495,41.81943130493164
28.0,35.0,32.534,40.93210983276367
29.0,35.0,32.693,40.411949157714844
30.0,35.0,32.913,40.20644760131836
31.0,35.0,32.986,39.25893020629883
32.0,35.0,33.319,38.77497482299805
33.0,35.0,33.216,37.29039001464844
34.0,35.0,33.353,36.785667419433594
35.0,35.0,33.601,36.706180572509766
36.0,35.0,33.715,35.633358001708984
37.0,35.0,33.876,34.754905700683594
38.0,35.0,33.845,33.59436798095703
39.0,35.0,34.07,33.44707489013672
40.0,35.0,34.033,33.0172233581543
41.0,35.0,34.252,33.287803649902344
42.0,35.0,34.362,33.19234085083008
43.0,35.0,34.61,32.48922348022461
44.0,35.0,34.824,31.943756103515625
45.0,35.0,34.825,30.97774314880371
46.0,35.0,34.964,30.959779739379883
47.0,35.0,35.191,31.20070457458496
48.0,35.0,35.154,31.25670623779297
49.0,35.0,35.462,31.198078155517578
50.0,35.0,35.264,31.21343231201172
51.0,35.0,35.53,31.549049377441406
52.0,35.0,35.668,32.246883392333984
53.0,35.0,35.753,31.633424758911133
54.0,35.0,35.831,30.94431495666504
55.0,35.0,35.889,30.540639877319336
56.0,35.0,35.882,30.44556427001953
57.0,35.0,36.081,30.751171112060547
58.0,35.0,36.307,30.953670501708984
59.0,35.0,36.392,29.793697357177734
60.0,35.0,36.619,28.56256866455078
61.0,35.0,36.589,27.265655517578125
62.0,35.0,36.763,26.325489044189453
63.0,35.0,36.601,25.87479591369629
64.0,35.0,36.668,25.70716667175293
65.0,35.0,36.82,26.307401657104492
66.0,35.0,36.96,26.31009864807129
67.0,35.0,36.961,26.02686882019043
68.0,35.0,37.032,25.893470764160156
69.0,35.0,37.227,25.820816040039062
70.0,35.0,37.157,25.090206146240234
