Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,32.049,21.67668739862758
1.0,35.0,32.21,20.628442919525884
2.0,35.0,32.081,21.703073050530236
3.0,35.0,32.113,21.600945913911417
4.0,35.0,32.113,21.73241877729258
5.0,35.0,32.178,21.386431565814117
6.0,35.0,32.049,22.462518964441678
7.0,35.0,32.146,21.884389020586394
8.0,35.0,32.242,21.30918727386153
9.0,35.0,32.113,22.382360137242674
10.0,35.0,32.113,22.513833000623833
11.0,35.0,32.178,22.167845789145375
12.0,35.0,32.307,21.348783967560806
13.0,35.0,32.274,21.71382495321272
14.0,35.0,32.178,22.54313774173427
15.0,35.0,32.274,21.966478727386146
16.0,35.0,32.274,22.090619713038045
17.0,35.0,32.371,21.502243356207096
18.01,35.0,32.403,21.386909731752972
19.0,35.0,32.468,21.02771603243915
20.0,35.0,32.436,21.378079600748595
21.0,35.0,32.468,21.259785901434782
22.0,35.0,32.5,21.140034934497816
23.0,35.0,32.629,20.30630935745479
24.0,35.0,32.532,21.126801122894598
25.0,35.0,32.564,21.004135620711168
26.0,35.0,32.597,20.872667311291316
27.0,35.0,32.79,19.56440985651903
28.0,35.0,32.758,19.90010966936991
29.0,35.0,32.919,18.8195776044916
30.0,35.0,32.854,19.39180561447287
31.0,35.0,32.854,19.489533624454154
32.01,35.0,32.919,19.109801559575818
33.0,35.0,32.919,19.204569494697463
34.0,35.0,33.112,17.88164828446661
35.0,35.0,33.016,18.67279887710544
36.0,35.0,33.112,18.057977666874596
37.0,35.0,33.177,17.666496381784157
38.0,35.0,33.209,17.51445782907047
39.0,35.0,33.241,17.360962008733626
40.0,35.0,33.338,16.728548845913902
41.0,35.0,33.37,16.56917841547101
42.0,35.0,33.402,16.408350717404858
43.0,35.0,33.402,16.48112301933873
44.0,35.0,33.499,15.84137797878975
45.0,35.0,33.531,15.674675670617598
46.0,35.0,33.596,15.264113287585799
47.0,35.0,33.757,14.145419026824719
48.0,35.0,33.725,14.437082033686826
49.0,35.0,33.854,13.547570430442924
50.0,35.0,33.789,14.077218902058627
51.0,35.0,33.886,13.419850031191494
52.0,35.0,33.95,13.000466625077955
53.0,35.0,33.918,13.283340486587651
54.0,35.0,34.015,12.620097005614468
55.0,35.0,34.176,11.482321646912025
56.0,35.0,34.079,12.232363630692447
57.01,35.0,34.111,12.039248346849677
58.01,35.0,34.176,11.60227298814721
59.0,35.0,34.24,11.169683094198362
60.0,35.0,34.272,10.969235932626336
61.0,35.0,34.369,10.289871428571429
62.0,35.0,34.401,10.083549656893299
63.0,35.0,34.466,9.633367810355573
64.01,35.0,34.466,9.657685963817832
65.0,35.0,34.434,9.917061384903322
66.0,35.0,34.466,9.707779538365553
67.0,35.0,34.53,9.2619831565814
68.0,35.0,34.595,8.805926699937624
69.0,35.0,34.691,8.119198440424185
70.0,35.0,34.724,7.890867373674383
71.0,35.0,34.724,7.90343630692454
72.0,35.0,34.724,7.916005240174697
73.0,35.0,34.756,7.69351690580162
74.0,35.0,34.788,7.46957130380539
75.0,35.0,34.885,6.7667083593262785
76.0,35.0,34.917,6.536888147223944
77.01,35.0,34.949,6.305610667498455
78.0,35.0,35.046,5.595415845290088
79.0,35.0,34.981,6.07078109794135
80.0,35.0,35.014,5.8292435433561876
81.0,35.0,35.078,5.358491453524621
82.0,35.0,35.046,5.589996631316288
83.0,35.0,35.143,4.875384466625075
84.0,35.0,35.078,5.346332376793493
85.0,35.0,35.11,5.107723019338747
86.0,35.0,35.239,4.1551390517779385
87.0,35.0,35.143,4.849426887086709
88.0,35.0,35.175,4.607857454772324
89.0,35.0,35.239,4.129773487211501
90.0,35.0,35.239,4.1188895196506765
91.0,35.0,35.271,3.8729482844666197
92.0,35.0,35.304,3.618204242046149
93.0,35.0,35.368,3.1342456643792747
94.0,35.0,35.336,3.3525443543356324
95.0,35.0,35.368,3.102185776668731
96.0,35.0,35.336,3.3204844666250897
97.0,35.0,35.368,3.070125888958188
98.0,35.0,35.465,2.3408499688084596
99.0,35.0,35.336,3.2672486587648266
100.0,35.0,35.433,2.539430006238304
101.0,35.0,35.4,2.7621141609482316
102.0,35.0,35.465,2.266438240798477
103.0,35.0,35.4,2.722722395508431
104.0,35.0,35.465,2.227046475358676
105.0,35.0,35.465,2.2058705552089566
106.01,35.0,35.4,2.6621547099189105
107.0,35.0,35.497,1.9314215221459752
108.0,35.0,35.465,2.143845601996231
109.0,35.0,35.497,1.8876124142233306
110.0,35.0,35.433,2.3350937616968186
111.0,35.0,35.433,2.315375109170306
112.0,35.0,35.433,2.295656456643793
113.0,35.0,35.465,2.040880536494048
114.0,35.0,35.465,2.0197046163443284
115.0,35.0,35.465,1.998528696194609
116.0,35.0,35.465,1.9773527760448895
117.01,35.0,35.433,2.191234123518403
118.0,35.0,35.433,2.1715154709918907
119.0,35.0,35.562,1.2042222083593428
120.0,35.0,35.433,2.1262035558328134
121.0,35.0,35.465,1.8714276356830686
122.0,35.0,35.368,2.5627690580162032
123.0,35.0,35.4,2.310953212726148
124.0,35.0,35.4,2.2927373674360663
125.0,35.0,35.433,2.032118714909545
126.0,35.0,35.433,2.0124000623830325
127.0,35.0,35.433,1.9926814098565202
128.0,35.0,35.4,2.215365564566448
129.0,35.0,35.465,1.7196896444166934
130.0,35.0,35.465,1.6985137242669737
131.0,35.0,35.529,1.207223268870841
132.01,35.0,35.497,1.4181900810979413
133.0,35.0,35.368,2.3431315034310503
134.0,35.0,35.4,2.0913156581409944
135.0,35.0,35.368,2.308157080474095
136.0,35.0,35.497,1.3438238927011852
137.0,35.0,35.529,1.0861334373050258
138.0,35.0,35.4,2.00961759201498
139.0,35.0,35.368,2.2264590143480802
140.0,35.0,35.368,2.2097004366812056
141.0,35.0,35.4,1.95788459139115
142.0,35.0,35.4,1.9396687461010689
143.0,35.0,35.368,2.1565101684341688
144.0,35.0,35.433,1.6622915159076732
145.0,35.0,35.304,2.5901474734871948
146.0,35.0,35.304,2.5763034310667337
147.0,35.0,35.304,2.562459388646271
148.0,35.0,35.304,2.54861534622581
149.0,35.0,35.497,1.1170821584529
150.01,48.0,35.368,97.53403855271364
151.0,48.0,35.465,97.39677760449155
152.0,48.0,35.4,98.44507673112913
153.0,48.0,35.433,98.77647305053024
154.0,48.0,35.368,99.826229444791
155.0,48.0,35.368,100.0
156.0,48.0,35.4,100.0
157.0,48.0,35.529,99.2188539613225
158.0,48.0,35.433,100.0
159.0,48.0,35.562,99.54437567061761
160.0,48.0,35.626,99.64068284466626
161.0,48.0,35.69,99.73407548346852
162.0,48.0,35.723,100.0
163.0,48.0,35.723,100.0
164.0,48.0,35.98,98.16446163443545
165.0,48.0,36.013,98.46944497816595
166.0,48.0,36.109,98.3101565190268
167.0,48.0,36.303,97.42663337492203
168.0,48.0,36.335,97.72425296319399
169.0,48.0,36.496,97.07284067373672
170.0,48.0,36.496,97.59672838427946
171.0,48.0,36.689,96.70292694946974
172.0,48.0,37.012,94.84541621958827
173.01,48.0,37.108,94.6406336868372
174.01,48.0,37.27,93.94667373674358
175.0,48.0,37.398,93.49508471615718
176.0,48.0,37.656,92.0827464753587
177.0,48.0,37.721,92.07634815970059
178.0,48.0,38.011,90.41424335620708
179.01,48.0,38.172,89.68650667498441
180.0,48.0,38.462,88.00386350592636
181.0,48.0,38.526,87.96810580162192
182.0,48.0,38.784,86.50439887710543
183.01,48.0,38.945,85.74146007485963
184.01,48.0,39.203,84.25867205240172
185.01,48.0,39.429,82.99919207735495
186.0,48.0,39.622,81.9718229569557
187.0,48.0,39.848,80.69326188396755
188.0,48.0,40.105,79.17669713038055
189.0,48.0,40.17,79.05877230193386
