Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,32.951,65.65930938720703
1.0,35.0,32.919,87.92218017578125
2.0,35.0,33.016,84.73907470703125
3.0,35.0,32.919,81.53209686279297
4.0,35.0,33.016,79.8467025756836
5.0,35.0,32.983,72.57321166992188
6.0,35.0,32.951,75.42748260498047
7.0,35.0,33.016,74.22064208984375
8.0,35.0,32.983,71.57205200195312
9.0,35.0,33.08,70.4891357421875
10.0,35.0,33.016,66.75872039794922
11.0,35.0,33.112,68.10606384277344
12.0,35.0,33.209,67.91974639892578
13.0,35.0,33.273,64.91476440429688
14.0,35.0,33.402,62.27095031738281
15.0,35.0,33.37,62.87171936035156
16.0,35.0,33.467,68.91755676269531
17.0,35.0,33.596,63.1614875793457
18.0,35.0,33.563,58.05388259887695
19.0,35.0,33.757,58.0850830078125
20.0,35.0,34.015,54.46672439575195
21.0,35.0,34.015,54.64554977416992
22.0,35.0,34.144,56.6365852355957
23.0,35.0,34.176,55.38930892944336
24.01,35.0,34.337,55.72726821899414
25.0,35.0,34.434,56.4992790222168
26.0,35.0,34.595,53.32307815551758
27.0,35.0,34.724,55.92073059082031
28.0,35.0,34.885,53.98253631591797
29.01,35.0,34.981,52.62727737426758
30.0,35.0,35.143,54.63365936279297
31.0,35.0,35.304,54.43622970581055
32.0,35.0,35.465,51.827449798583984
33.0,35.0,35.562,48.807186126708984
34.0,35.0,35.658,49.78483581542969
35.01,35.0,35.819,48.9089469909668
36.0,35.0,35.98,46.73847198486328
37.01,35.0,36.142,47.716915130615234
38.01,35.0,36.271,44.574676513671875
39.0,35.0,36.432,45.03351593017578
40.0,35.0,36.561,44.425472259521484
41.0,35.0,36.722,43.313880920410156
42.01,35.0,36.818,43.831180572509766
43.01,35.0,37.012,42.54270935058594
44.0,35.0,37.108,39.925132751464844
45.0,35.0,37.108,38.30702209472656
46.0,35.0,37.302,37.25491714477539
47.0,35.0,37.463,31.91734504699707
48.01,35.0,37.527,27.925363540649414
49.0,35.0,37.753,26.165592193603516
50.0,35.0,37.785,22.356752395629883
51.0,35.0,37.914,21.10987091064453
52.0,35.0,38.107,18.73885726928711
53.0,35.0,38.236,15.968433380126953
54.0,35.0,38.333,14.508691787719727
55.0,35.0,38.43,14.824482917785645
56.0,35.0,38.494,14.745375633239746
57.0,35.0,38.655,14.767301559448242
58.0,35.0,38.752,12.803536415100098
59.0,35.0,38.849,12.629020690917969
60.0,35.0,39.01,12.346747398376465
61.0,35.0,39.01,10.819071769714355
62.0,35.0,39.139,11.609491348266602
63.0,35.0,39.203,10.509765625
64.0,35.0,39.332,9.382247924804688
65.01,35.0,39.396,7.690024375915527
66.0,35.0,39.493,6.2073259353637695
67.0,35.0,39.525,4.708376407623291
68.0,35.0,39.59,4.175466537475586
69.01,35.0,39.687,3.626042604446411
70.0,35.0,39.687,2.88277268409729
71.0,35.0,39.815,2.886611223220825
72.0,35.0,39.815,2.38494873046875
73.0,35.0,39.944,2.3828296661376953
74.0,35.0,39.912,1.8818110227584839
75.01,35.0,40.009,1.833471655845642
76.0,35.0,40.105,1.523110270500183
77.0,35.0,40.202,1.2101411819458008
78.0,35.0,40.202,0.9357035160064697
79.0,35.0,40.234,0.8304297924041748
80.0,35.0,40.267,0.7836282253265381
81.0,35.0,40.267,0.720590353012085
82.0,35.0,40.234,0.7250458002090454
83.0,35.0,40.267,0.77953040599823
84.0,35.0,40.202,0.7819920778274536
85.0,35.0,40.299,0.9155809879302979
86.01,35.0,40.267,0.7918804883956909
87.0,35.0,40.267,0.7993489503860474
88.0,35.0,40.428,0.8490055799484253
89.0,35.0,40.299,0.6092756986618042
90.0,35.0,40.267,0.7541686296463013
91.0,35.0,40.267,0.9530901908874512
92.0,35.0,40.299,0.993916392326355
93.0,35.0,40.234,0.9750247001647949
94.0,35.0,40.299,1.111552119255066
95.0,35.0,40.267,1.0356754064559937
96.0,35.0,40.363,1.0681360960006714
97.0,35.0,40.234,0.9130686521530151
98.0,35.0,40.234,1.1255592107772827
99.0,35.0,40.202,1.2374699115753174
100.0,35.0,40.234,1.3413816690444946
101.0,35.0,40.202,1.316922903060913
102.0,35.0,40.234,1.3931483030319214
103.0,35.0,40.234,1.3550788164138794
104.0,35.0,40.267,1.3400673866271973
105.0,35.0,40.17,1.266181468963623
106.0,35.0,40.138,1.5032470226287842
107.0,35.0,40.17,1.8595248460769653
108.0,35.0,40.138,1.8042504787445068
109.0,35.0,40.041,1.932176947593689
110.0,35.0,40.041,2.635866403579712
111.0,35.0,39.977,3.041109561920166
112.0,35.0,39.977,3.7333874702453613
113.01,35.0,39.88,4.243114471435547
114.0,35.0,39.912,5.618956565856934
115.0,35.0,39.944,5.707156658172607
116.0,35.0,39.912,5.434682846069336
117.0,35.0,39.912,5.679500102996826
118.0,35.0,39.88,5.794105052947998
119.0,35.0,39.815,6.146306037902832
120.0,35.0,39.783,7.172173500061035
121.0,35.0,39.654,8.092745780944824
122.0,35.0,39.719,10.769698143005371
123.0,35.0,39.654,11.181608200073242
124.0,35.0,39.59,12.316361427307129
125.0,35.0,39.654,13.847142219543457
126.0,35.0,39.558,12.853351593017578
127.0,35.0,39.558,14.134833335876465
128.0,35.0,39.622,14.868929862976074
129.0,35.0,39.59,13.813793182373047
130.0,35.0,39.493,14.323583602905273
131.01,35.0,39.493,16.268583297729492
132.0,35.0,39.461,16.283842086791992
133.0,35.0,39.493,17.094663619995117
134.0,35.0,39.396,16.648563385009766
135.0,35.0,39.364,17.088577270507812
136.0,35.0,39.396,17.206371307373047
137.0,35.0,39.461,16.753089904785156
138.0,35.0,39.332,15.93465518951416
139.0,35.0,39.332,17.27876091003418
140.0,35.0,39.332,17.204269409179688
141.0,35.0,39.3,17.0919189453125
142.0,35.0,39.3,17.308494567871094
143.0,35.0,39.332,16.88618278503418
144.0,35.0,39.332,16.438385009765625
145.0,35.0,39.268,16.359203338623047
146.0,35.0,39.332,16.876483917236328
147.0,35.0,39.3,16.470178604125977
148.0,35.0,39.364,16.547887802124023
149.0,35.0,39.332,16.043285369873047
150.0,48.0,39.3,16.364748001098633
151.0,48.0,39.332,27.562259674072266
152.0,48.0,39.332,45.438201904296875
153.0,48.0,39.396,42.47564697265625
154.0,48.0,39.364,42.56208038330078
155.0,48.0,39.429,41.25891876220703
156.0,48.0,39.332,41.110382080078125
