Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,28.987,33.66927789625091
1.0,35.0,28.987,37.14989442125298
2.0,35.0,29.02,40.42158824573219
3.0,35.0,28.955,43.57849851556557
4.0,35.0,28.987,46.535658719803166
5.0,35.0,29.02,49.30934199156482
6.0,35.0,29.084,51.89826034042025
7.0,35.0,28.987,54.422340533497604
8.02,35.0,29.02,56.7918693430735
9.0,35.0,29.052,59.02306855344956
10.0,35.0,29.084,61.1071231968855
11.01,35.0,29.181,63.020038029139904
12.02,35.0,29.148,64.86834248213785
13.02,35.0,29.181,66.61790119459
14.0,35.0,29.277,66.61790119459
15.01,35.0,29.277,66.61790119459
16.01,35.0,29.31,66.61790119459
17.0,35.0,29.406,66.61790119459
18.01,35.0,29.471,66.61790119459
19.01,35.0,29.567,66.61790119459
20.0,35.0,29.6,66.61790119459
21.01,35.0,29.761,66.61790119459
22.01,35.0,29.793,66.61790119459
23.0,35.0,29.922,66.61790119459
24.01,35.0,30.115,66.61790119459
25.01,35.0,30.115,66.61790119459
26.01,35.0,30.244,66.61790119459
27.01,35.0,30.405,66.61790119459
28.0,35.0,30.502,66.61790119459
29.02,35.0,30.599,67.09452235436639
30.0,35.0,30.889,67.31137634437486
31.0,35.0,30.889,67.51518900554561
32.01,35.0,31.082,67.55689155235703
33.01,35.0,31.179,67.51743010187934
34.01,35.0,31.308,67.37513267871
35.01,35.0,31.469,67.1137904233238
36.01,35.0,31.694,66.69144548543511
37.01,35.0,31.791,66.21976380236995
38.01,35.0,31.888,65.69573127274302
39.0,35.0,32.113,65.02094104747819
40.01,35.0,32.21,64.30231490222428
41.01,35.0,32.468,63.41669391229864
42.01,35.0,32.532,62.527232714734595
43.01,35.0,32.758,61.512312851267836
44.0,35.0,32.79,60.52051538611455
45.01,35.0,33.016,59.4066662968202
46.02,35.0,33.177,58.22363045419221
47.01,35.0,33.402,56.92642178546254
48.01,35.0,33.563,55.564781303484075
49.01,35.0,33.66,54.207226337729644
50.01,35.0,33.789,52.816006256025844
51.0,35.0,34.047,51.2967480070365
52.02,35.0,34.24,49.70348845904223
53.01,35.0,34.337,48.12023165700192
54.01,35.0,34.466,46.514852695169104
55.01,35.0,34.691,44.82120957283118
56.01,35.0,34.82,43.11211770399417
57.0,35.0,34.981,41.36339280174292
58.0,35.0,35.11,39.60611074655373
59.0,35.0,35.368,37.74695828442063
60.01,35.0,35.433,35.95496832118257
61.01,35.0,35.658,34.205711068416804
62.01,35.0,35.723,32.52154986752909
63.02,35.0,36.013,30.870257183689287
64.01,35.0,36.045,29.29734843439836
65.01,35.0,36.206,27.777738519386766
66.0,35.0,36.399,26.307209028174245
67.01,35.0,36.528,24.89048408975396
68.01,35.0,36.722,23.534375415825426
69.0,35.0,36.754,22.24774195500334
70.01,35.0,36.915,21.01413116571748
71.0,35.0,37.044,19.830020316157583
72.0,35.0,37.076,18.70261342075393
73.01,35.0,37.27,17.6362464726328
74.01,35.0,37.366,16.616223577196507
