Time(s),Reference(C),Temperature(C),Control_Effort(%),Base_NMPC(%),Residual_SAC(%)
0.0,35.0,30.341,51.448716463373444,36.70868688993289,14.740029573440552
1.0,35.0,30.405,51.52156168393924,36.70868688993289,14.812874794006348
2.01,35.0,30.405,51.436886133478424,36.70868688993289,14.728199243545532
3.0,35.0,30.405,50.70448213987186,36.70868688993289,13.995795249938965
4.01,35.0,30.47,48.97980743818118,36.70868688993289,12.271120548248291
5.01,35.0,30.373,54.93650532838389,42.7406690227656,12.195836305618286
6.02,35.0,30.438,55.75584329244181,42.7406690227656,13.015174269676208
7.02,35.0,30.341,56.06143809434458,42.7406690227656,13.32076907157898
8.01,35.0,30.534,55.32266296025797,42.7406690227656,12.58199393749237
9.0,35.0,30.47,55.69302416917368,42.7406690227656,12.952355146408081
10.0,35.0,30.47,61.63101715694945,48.07858748089354,13.552429676055908
11.01,35.0,30.502,61.76837129246275,48.07858748089354,13.689783811569214
12.01,35.0,30.534,61.651941963544296,48.07858748089354,13.573354482650757
13.01,35.0,30.663,61.84505922447722,48.07858748089354,13.76647174358368
14.0,35.0,30.695,61.824504562726425,48.07858748089354,13.745917081832886
15.0,35.0,30.728,66.39191837325819,52.44304032340772,13.948878049850464
16.0,35.0,30.824,65.29878408923872,52.44304032340772,12.855743765830994
17.0,35.0,30.856,65.0360867501808,52.44304032340772,12.593046426773071
18.01,35.0,30.953,63.902281236798835,52.44304032340772,11.459240913391113
19.01,35.0,31.05,64.24840064063795,52.44304032340772,11.805360317230225
20.01,35.0,31.146,65.16439647689589,52.44304032340772,12.72135615348816
21.01,35.0,31.275,64.23419744983443,52.44304032340772,11.791157126426697
22.01,35.0,31.308,61.92835063949354,52.44304032340772,9.485310316085815
23.01,35.0,31.437,61.98438198581464,52.44304032340772,9.541341662406921
24.0,35.0,31.501,62.13872702136762,52.44304032340772,9.6956866979599
25.01,35.0,31.565,62.97141165748365,52.44304032340772,10.528371334075928
26.02,35.0,31.823,62.74130315795667,52.44304032340772,10.29826283454895
27.0,35.0,31.759,61.164278698117805,52.44304032340772,8.721238374710083
28.01,35.0,31.984,59.84920055881269,52.44304032340772,7.406160235404968
29.02,35.0,32.113,59.02070195689924,52.44304032340772,6.577661633491516
30.02,35.0,32.146,59.016846728475166,52.44304032340772,6.573806405067444
31.0,35.0,32.403,58.32542152419813,52.44304032340772,5.882381200790405
32.01,35.0,32.5,57.95367450729139,52.44304032340772,5.510634183883667
33.01,35.0,32.629,57.770615530164314,52.44304032340772,5.327575206756592
34.01,35.0,32.758,57.67638952747114,52.44304032340772,5.2333492040634155
35.0,35.0,32.919,57.494170975835395,52.44304032340772,5.051130652427673
36.0,35.0,33.112,56.78384335056074,52.44304032340772,4.340803027153015
37.02,35.0,33.209,55.77133090511091,52.44304032340772,3.328290581703186
38.0,35.0,33.338,55.68477423206098,52.44304032340772,3.2417339086532593
39.01,35.0,33.435,55.139089536817146,52.44304032340772,2.696049213409424
40.01,35.0,33.66,54.15703496907532,50.88990411732971,3.2671308517456055
41.0,35.0,33.757,52.8495206591922,50.88990411732971,1.9596165418624878
42.01,35.0,33.95,52.441926812871095,50.88990411732971,1.5520226955413818
43.0,35.0,34.079,52.31273195718109,50.88990411732971,1.4228278398513794
44.01,35.0,34.208,52.32885739777863,50.88990411732971,1.4389532804489136
45.0,35.0,34.401,49.4877749906911,48.10094239581958,1.386832594871521
46.01,35.0,34.498,49.08075513709918,48.10094239581958,0.979812741279602
47.01,35.0,34.756,49.137108348502075,48.10094239581958,1.0361659526824951
48.01,35.0,34.82,48.12477292884723,48.10094239581958,0.023830533027648926
49.0,35.0,34.981,48.005215250147735,48.10094239581958,-0.09572714567184448
50.01,35.0,35.11,44.43456921756627,44.57881663024785,-0.1442474126815796
51.01,35.0,35.271,44.225508012179155,44.57881663024785,-0.35330861806869507
52.01,35.0,35.4,44.25552461326482,44.57881663024785,-0.3232920169830322
53.0,35.0,35.562,44.247809686068315,44.57881663024785,-0.3310069441795349
54.01,35.0,35.658,43.66770241439702,44.57881663024785,-0.9111142158508301
55.01,35.0,35.852,39.96093081134029,41.097760068351704,-1.1368292570114136
56.01,35.0,36.045,39.13116084235378,41.097760068351704,-1.9665992259979248
57.0,35.0,36.142,38.89985697167583,41.097760068351704,-2.197903096675873
58.01,35.0,36.271,39.025796519691426,41.097760068351704,-2.0719635486602783
59.01,35.0,36.399,39.25214366810985,41.097760068351704,-1.8456164002418518
60.01,35.0,36.496,35.896629141024476,37.76340101783646,-1.8667718768119812
61.01,35.0,36.722,36.43175576751602,37.76340101783646,-1.3316452503204346
62.0,35.0,36.818,37.20603440826309,37.76340101783646,-0.5573666095733643
63.01,35.0,37.012,38.39718912666214,37.76340101783646,0.6337881088256836
64.02,35.0,37.012,39.90205679958237,37.76340101783646,2.1386557817459106
65.0,35.0,37.237,39.220336512285165,34.593627885538034,4.626708626747131
66.0,35.0,37.334,40.04773004408448,34.593627885538034,5.454102158546448
67.01,35.0,37.463,40.459554628091745,34.593627885538034,5.865926742553711
68.01,35.0,37.56,40.101764038759164,34.593627885538034,5.50813615322113
69.01,35.0,37.624,38.69958384390443,34.593627885538034,4.105955958366394
70.01,35.0,37.656,34.8322376590329,31.63081914001282,3.2014185190200806
71.0,35.0,37.946,34.03902798705872,31.63081914001282,2.4082088470458984
72.01,35.0,38.075,34.939933715398865,31.63081914001282,3.3091145753860474
73.0,35.0,38.107,35.16203671508606,31.63081914001282,3.531217575073242
74.02,35.0,38.172,35.23414522224243,31.63081914001282,3.6033260822296143
75.01,35.0,38.301,32.51106596110777,28.874627114519633,3.6364388465881348
76.01,35.0,38.462,31.96139907954649,28.874627114519633,3.0867719650268555
77.0,35.0,38.559,31.66281199572996,28.874627114519633,2.788184881210327
78.02,35.0,38.655,31.8263355505319,28.874627114519633,2.951708436012268
79.01,35.0,38.784,32.07238173602537,28.874627114519633,3.1977546215057373
80.01,35.0,38.881,30.555594075773804,26.31439219817981,4.241201877593994
81.01,35.0,38.978,30.4564399610506,26.31439219817981,4.142047762870789
82.01,35.0,39.139,30.217853892897217,26.31439219817981,3.9034616947174072
83.01,35.0,39.235,30.129165757750123,26.31439219817981,3.8147735595703125
84.01,35.0,39.203,30.177481282805054,26.31439219817981,3.863089084625244
85.0,35.0,39.268,28.224172660048858,23.958180018599883,4.265992641448975
86.01,35.0,39.461,28.342395492728606,23.958180018599883,4.384215474128723
87.01,35.0,39.493,29.388294287856475,23.958180018599883,5.430114269256592
88.01,35.0,39.622,29.185676642592803,23.958180018599883,5.22749662399292
89.01,35.0,39.687,29.296367832358733,23.958180018599883,5.33818781375885
90.01,35.0,39.815,27.212337081878772,21.790181820839038,5.422155261039734
91.01,35.0,39.848,27.37960321232616,21.790181820839038,5.589421391487122
92.01,35.0,39.912,26.940766995399585,21.790181820839038,5.150585174560547
93.01,35.0,40.073,26.713936155288806,21.790181820839038,4.923754334449768
94.0,35.0,40.073,26.684869950264087,21.790181820839038,4.894688129425049
95.01,35.0,40.202,24.69619777310157,19.801320100906135,4.894877672195435
96.01,35.0,40.234,24.73037984478736,19.801320100906135,4.929059743881226
97.0,35.0,40.331,25.045231844070198,19.801320100906135,5.2439117431640625
98.0,35.0,40.363,25.124212170722725,19.801320100906135,5.322892069816589
99.0,35.0,40.492,24.783548380019905,19.801320100906135,4.9822282791137695
100.0,35.0,40.524,22.55346341047027,17.989366482827446,4.564096927642822
101.01,35.0,40.557,22.334530781838676,17.989366482827446,4.3451642990112305
102.01,35.0,40.621,22.44661672029235,17.989366482827446,4.457250237464905
103.0,35.0,40.718,22.28507800016143,17.989366482827446,4.295711517333984
104.01,35.0,40.847,22.221348713967583,17.989366482827446,4.231982231140137
105.0,35.0,40.847,20.091602331155535,16.336488252633806,3.7551140785217285
106.01,35.0,40.976,20.56039882277846,16.336488252633806,4.223910570144653
107.01,35.0,40.879,20.291276699060198,16.336488252633806,3.9547884464263916
108.02,35.0,41.008,20.78684163665175,16.336488252633806,4.450353384017944
109.01,35.0,41.104,20.582307106012102,16.336488252633806,4.245818853378296
110.01,35.0,41.104,18.681592563951156,14.82802353318944,3.8535690307617188
111.01,35.0,41.169,18.704809765184066,14.82802353318944,3.876786231994629
112.01,35.0,41.137,18.566237906778,14.82802353318944,3.738214373588562
113.01,35.0,41.233,18.87042901929631,14.82802353318944,4.042405486106873
114.01,35.0,41.266,18.71072671827092,14.82802353318944,3.882703185081482
115.0,35.0,41.33,17.42164201356493,13.451661535278188,3.969980478286743
116.01,35.0,41.395,17.32433325864397,13.451661535278188,3.8726717233657837
117.01,35.0,41.459,17.14711970903002,13.451661535278188,3.695458173751831
118.01,35.0,41.459,16.918405958190785,13.451661535278188,3.4667444229125977
119.01,35.0,41.523,17.06948763944231,13.451661535278188,3.6178261041641235
120.0,35.0,41.459,15.800848219132714,12.19268700811892,3.608161211013794
121.01,35.0,41.523,16.133667442536645,12.19268700811892,3.9409804344177246
122.01,35.0,41.556,15.991016838288598,12.19268700811892,3.7983298301696777
123.01,35.0,41.491,15.917245361542992,12.19268700811892,3.7245583534240723
124.02,35.0,41.556,16.222250077462487,12.19268700811892,4.029563069343567
125.01,35.0,41.556,15.138424351879479,11.04757995910299,4.090844392776489
126.01,35.0,41.523,15.229494288631798,11.04757995910299,4.181914329528809
127.0,35.0,41.523,15.44035167998922,11.04757995910299,4.3927717208862305
128.01,35.0,41.523,15.446552947231652,11.04757995910299,4.398972988128662
129.01,35.0,41.523,15.31816454238546,11.04757995910299,4.270584583282471
130.0,35.0,41.556,14.524890713006418,10.012183121949594,4.512707591056824
131.0,35.0,41.523,14.611361555367868,10.012183121949594,4.599178433418274
132.01,35.0,41.652,14.953952960282724,10.012183121949594,4.94176983833313
133.01,35.0,41.491,14.633893899232309,10.012183121949594,4.621710777282715
134.01,35.0,41.523,15.24042361190931,10.012183121949594,5.228240489959717
135.01,35.0,41.523,14.35585572248887,9.068744320930948,5.287111401557922
136.0,35.0,41.588,14.399227042259684,9.068744320930948,5.330482721328735
137.0,35.0,41.556,14.321691532196512,9.068744320930948,5.252947211265564
138.01,35.0,41.556,14.536198515953531,9.068744320930948,5.467454195022583
139.01,35.0,41.523,14.716396470131388,9.068744320930948,5.6476521492004395
140.01,35.0,41.523,13.918179153068692,8.205338595970304,5.712840557098389
141.0,35.0,41.523,13.990369914634854,8.205338595970304,5.785031318664551
142.01,35.0,41.62,14.099394558532865,8.205338595970304,5.894055962562561
143.01,35.0,41.556,13.987537501915128,8.205338595970304,5.782198905944824
144.01,35.0,41.556,14.203365920646817,8.205338595970304,5.998027324676514
145.0,35.0,41.588,13.552882511700533,7.423773844326876,6.129108667373657
146.01,35.0,41.523,13.56578572520151,7.423773844326876,6.142011880874634
147.01,35.0,41.62,13.714900453175447,7.423773844326876,6.291126608848572
148.01,35.0,41.556,13.58568056353464,7.423773844326876,6.161906719207764
149.01,35.0,41.588,13.805035193051241,7.423773844326876,6.381261348724365
150.0,48.0,41.523,22.131636451330728,15.780244182196206,6.3513922691345215
151.01,48.0,41.523,15.78649551734025,15.780244182196206,0.006251335144042969
152.01,48.0,41.523,17.561399053183145,15.780244182196206,1.7811548709869385
153.01,48.0,41.491,18.230370591726846,15.780244182196206,2.4501264095306396
154.01,48.0,41.491,18.08209092482621,15.780244182196206,2.301846742630005
155.0,48.0,41.556,24.23742143803271,23.50135891132983,0.7360625267028809
156.01,48.0,41.556,25.53129582100543,23.50135891132983,2.029936909675598
157.01,48.0,41.459,25.584460779959286,23.50135891132983,2.0831018686294556
158.01,48.0,41.523,24.5920917242113,23.50135891132983,1.0907328128814697
159.01,48.0,41.491,25.431478306585873,23.50135891132983,1.9301193952560425
