Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,28.085,50.79440642545227
1.01,35.0,28.149,50.639198315658135
2.01,35.0,28.182,50.708787398627585
3.01,35.0,28.085,51.731793824079844
4.0,35.0,28.149,51.576585714285706
5.0,35.0,28.182,51.646174797255156
6.02,35.0,28.246,51.48654934497817
7.01,35.0,28.085,52.97675577043044
8.01,35.0,28.246,52.109030318153465
9.01,35.0,28.246,52.416604865876494
10.01,35.0,28.246,52.72417941359951
11.0,35.0,28.278,52.79669669369932
12.01,35.0,28.343,52.62535389893949
13.01,35.0,28.375,52.69345383655646
14.01,35.0,28.407,52.76009650655022
15.01,35.0,28.504,52.34782183406112
16.01,35.0,28.536,52.40858989394883
17.02,35.0,28.665,51.75538334373051
18.01,35.0,28.697,51.80881952588896
19.01,35.0,28.858,50.913223830318145
20.01,35.0,28.923,50.71546805988772
21.0,35.0,28.923,50.99221228945728
22.0,35.0,28.987,50.79884198378043
23.01,35.0,29.245,49.17752245789144
24.0,35.0,29.277,49.204545664379275
25.02,35.0,29.342,48.98770879600749
26.02,35.0,29.535,47.82768278228321
27.0,35.0,29.567,47.84149950093574
28.01,35.0,29.632,47.61145614472862
29.01,35.0,29.761,46.90833817841548
30.01,35.0,29.857,46.441748409232694
31.0,35.0,29.986,45.72838402994385
32.0,35.0,30.115,45.00914504054898
33.01,35.0,30.147,44.99654878353088
34.01,35.0,30.373,43.55746057392388
35.01,35.0,30.438,43.290712289457275
36.01,35.0,30.566,42.55823493449782
37.0,35.0,30.631,42.28269750467873
38.0,35.0,30.792,41.29902819713037
39.0,35.0,30.889,40.77814154709919
40.0,35.0,31.114,39.31260848409232
41.0,35.0,31.179,39.01211534622583
42.01,35.0,31.308,38.23854759825327
43.01,35.0,31.501,36.98899070492825
44.01,35.0,31.533,36.913276543980025
45.0,35.0,31.598,36.59370230817218
46.02,35.0,31.791,35.33093892701184
47.01,35.0,31.888,34.76455820336867
48.01,35.0,32.081,33.48858833437303
49.01,35.0,32.178,32.90900112289459
50.01,35.0,32.242,32.567399376169696
51.01,35.0,32.371,31.745423019338723
52.01,35.0,32.532,30.68251478477856
53.02,35.0,32.661,29.84733194011228
54.01,35.0,32.726,29.476389020586407
55.01,35.0,32.822,28.87477429819087
56.01,35.0,32.951,28.026384965689328
57.01,35.0,33.08,27.172121023081733
58.01,35.0,33.145,26.782097005614453
59.01,35.0,33.306,25.683941110417987
60.0,35.0,33.402,25.055913412351835
61.0,35.0,33.499,24.41616837180285
62.0,35.0,33.596,23.772005988771078
63.02,35.0,33.692,23.130771802869617
64.01,35.0,33.854,22.000360199625707
65.01,35.0,33.886,21.817491328758557
66.0,35.0,33.95,21.398107922645018
67.0,35.0,34.111,20.263292638802266
68.01,35.0,34.24,19.356202744853384
69.01,35.0,34.24,19.39081285090454
70.01,35.0,34.369,18.477848346849658
71.01,35.0,34.498,17.55900923268873
72.01,35.0,34.53,17.346812850904545
73.0,35.0,34.53,17.36821646912039
74.01,35.0,34.788,15.494470867124164
75.0,35.0,34.788,15.504125265127911
76.01,35.0,34.788,15.51377966313165
77.01,35.0,34.949,14.340802183406128
78.0,35.0,35.014,13.865664628820937
79.01,35.0,35.046,13.629969806612605
80.01,35.0,35.078,13.392817716781014
81.01,35.0,35.175,12.676748284466646
82.01,35.0,35.239,12.198664316905822
83.01,35.0,35.336,11.475263006862145
84.01,35.0,35.465,10.512387086712387
85.0,35.0,35.465,10.491211166562668
86.0,35.0,35.465,10.470035246412946
87.0,35.0,35.529,9.978744791016814
88.0,35.0,35.594,9.47719426076106
89.02,35.0,35.594,9.45014373050529
90.0,35.0,35.562,9.658150467872751
91.01,35.0,35.755,8.214868059887689
92.01,35.0,35.755,8.18048565190266
