Time(s),Reference(C),Temperature(C),Control_Effort(%)
0.0,35.0,28.987,99.457763671875
1.02,35.0,29.181,99.97342681884766
2.0,35.0,29.148,99.83193969726562
3.01,35.0,29.213,99.89884948730469
4.01,35.0,29.084,99.890869140625
5.01,35.0,29.245,99.83473205566406
6.01,35.0,29.245,99.67632293701172
7.0,35.0,29.181,99.47390747070312
8.01,35.0,29.277,99.11228942871094
9.0,35.0,29.245,98.35304260253906
10.0,35.0,29.406,96.40840911865234
11.01,35.0,29.438,96.4359130859375
12.0,35.0,29.6,96.29713439941406
13.01,35.0,29.664,95.26835632324219
14.01,35.0,29.761,94.31995391845703
15.01,35.0,29.825,97.54214477539062
16.0,35.0,29.922,97.23722076416016
17.01,35.0,30.115,95.29537200927734
18.01,35.0,30.18,90.33506774902344
19.0,35.0,30.534,93.36940002441406
20.01,35.0,30.566,85.32405853271484
21.01,35.0,30.695,81.15491485595703
22.01,35.0,30.824,79.8775634765625
23.0,35.0,31.114,80.32780456542969
24.01,35.0,31.211,80.79937744140625
25.0,35.0,31.404,77.55406188964844
26.01,35.0,31.469,78.06578063964844
27.0,35.0,31.759,76.58696746826172
28.0,35.0,31.92,76.76771545410156
29.0,35.0,32.081,74.91146850585938
30.0,35.0,32.339,76.52090454101562
31.0,35.0,32.564,73.82666778564453
32.01,35.0,32.79,71.628173828125
33.0,35.0,33.016,69.91411590576172
34.0,35.0,33.112,70.70538330078125
35.0,35.0,33.402,68.96568298339844
36.01,35.0,33.66,67.44124603271484
37.02,35.0,33.757,66.40625
38.0,35.0,34.015,66.86272430419922
39.01,35.0,34.272,66.16386413574219
40.01,35.0,34.434,65.29939270019531
41.02,35.0,34.659,63.96171951293945
42.0,35.0,34.82,64.72435760498047
43.0,35.0,35.11,64.02787780761719
44.01,35.0,35.239,61.82829284667969
45.01,35.0,35.465,63.282073974609375
46.01,35.0,35.626,59.774051666259766
47.01,35.0,35.884,60.25727844238281
48.01,35.0,36.109,54.470760345458984
49.0,35.0,36.271,52.69411087036133
50.02,35.0,36.432,51.85161209106445
